ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income
90240,87107.0,125793.0,87572.0,129604.0,105545.0,,49912.0,70907.0
90241,72274.0,88910.0,77471.0,93342.0,91984.0,,42407.0,58330.0
90242,73037.0,88155.0,78621.0,93766.0,87260.0,,37906.0,53736.0
90245,115846.0,143417.0,125022.0,158403.0,155000.0,,81691.0,111050.0
90247,61234.0,75699.0,72466.0,83392.0,80814.0,92778.0,36279.0,51785.0
90248,63620.0,89363.0,73514.0,97191.0,94059.0,,40000.0,58989.0
90249,65397.0,82585.0,78735.0,93438.0,89623.0,,38930.0,53215.0
90250,60162.0,79570.0,66055.0,85886.0,85380.0,102369.0,42858.0,58911.0
90254,142500.0,209447.0,199276.0,264207.0,207091.0,,103802.0,151476.0
90255,49366.0,62285.0,50179.0,62621.0,62493.0,73437.0,20502.0,36075.0
90260,70389.0,84420.0,73552.0,88121.0,87744.0,,45380.0,61714.0
90262,57236.0,71059.0,57232.0,71048.0,63427.0,,27214.0,41923.0
90263,,,,,,,,
90265,163909.0,265442.0,198857.0,301329.0,216797.0,,94583.0,180373.0
90266,153926.0,243789.0,195510.0,289444.0,206484.0,,92562.0,137712.0
90270,50996.0,60374.0,52397.0,61801.0,59075.0,,27474.0,37941.0
90272,199598.0,345660.0,,443347.0,,,91483.0,133209.0
90274,181776.0,257930.0,204808.0,288331.0,219821.0,,82269.0,120802.0
90275,145816.0,194050.0,164296.0,214370.0,177104.0,,66763.0,116146.0
90277,104859.0,152626.0,146466.0,191027.0,164969.0,,80101.0,107186.0
90278,126979.0,158019.0,150503.0,180405.0,169460.0,,82914.0,107656.0
90280,55084.0,68853.0,55681.0,69298.0,64447.0,78702.0,32362.0,43984.0
90290,129000.0,175506.0,149036.0,196293.0,174135.0,,95750.0,121043.0
90291,99496.0,166091.0,159500.0,229406.0,186114.0,,81638.0,127833.0
90292,121021.0,162869.0,155417.0,197684.0,178247.0,,108476.0,139700.0
90293,104814.0,149151.0,131042.0,192441.0,151638.0,,91086.0,119805.0
90301,51498.0,66084.0,59766.0,74080.0,77948.0,82499.0,29104.0,46288.0
90302,54432.0,70572.0,60476.0,74237.0,79048.0,,40929.0,56295.0
90303,62826.0,79535.0,64382.0,84092.0,70377.0,,35023.0,53614.0
90304,47612.0,61734.0,50506.0,63617.0,59502.0,,27003.0,44930.0
90305,88910.0,105892.0,99679.0,115142.0,125663.0,,59023.0,82716.0
90401,95217.0,133030.0,105579.0,150640.0,119879.0,,85114.0,127932.0
90402,145742.0,314743.0,213641.0,414490.0,240764.0,,73500.0,123889.0
90403,111611.0,155708.0,146384.0,206353.0,170420.0,,82757.0,116587.0
90404,75610.0,111833.0,85625.0,135562.0,129196.0,,62679.0,91955.0
90405,96352.0,136441.0,131069.0,183976.0,165962.0,,81468.0,103005.0
90501,75388.0,102061.0,83213.0,104814.0,103146.0,,57038.0,89966.0
90502,85515.0,103098.0,95972.0,113278.0,106528.0,,53750.0,74923.0
90503,97688.0,120575.0,119640.0,134666.0,134805.0,,58652.0,86196.0
