Pop_ID,ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income,Land Area sq miles,Water Area sq miles,Latitude,Longitude,Per Capita Income,Poverty Count,Poverty Rate,Insurance coverage status,Coverage Rate,Count Of Licensees
42,90042,73152.0,97223.0,74856.0,102763.0,98497.0,,63623.0,82021.0,4.519,0.033,34.1147083,-118.1920977,44011.0,6249.0,10.564487498098089,58930.0,99.62637994285812,2.0
43,90043,56285.0,77808.0,71942.0,96532.0,104956.0,,28104.0,48352.0,4.102,0.001,33.9885046,-118.3363581,36219.0,7340.0,16.50885045320618,44177.0,99.36123793886776,3.0
44,90044,39434.0,56281.0,46764.0,62878.0,64246.0,83517.0,16931.0,28625.0,5.102,0.0,33.9526526,-118.2920125,19333.0,26351.0,26.619860591978988,98889.0,99.89796949186788,0.0
45,90045,110535.0,143151.0,147039.0,178715.0,171250.0,,80112.0,93410.0,10.759,0.0,33.9423871,-118.4160617,64266.0,3210.0,7.805850740461542,41085.0,99.90759429029984,7.0
46,90046,72457.0,116558.0,114390.0,163293.0,122951.0,,61469.0,94609.0,5.666,0.001,34.1078099,-118.3622474,79934.0,5613.0,11.652480797176668,47874.0,99.3855096533112,5.0
47,90047,58830.0,73485.0,70734.0,87624.0,86830.0,107159.0,20700.0,38410.0,4.707,0.0,33.9554301,-118.3095685,30203.0,9052.0,17.340996168582375,52142.0,99.88888888888889,1.0
48,90048,93583.0,151911.0,140821.0,225294.0,155363.0,,74871.0,105074.0,1.893,0.0,34.0728769,-118.3726545,98449.0,2306.0,11.297829601685368,20028.0,98.12356082504532,29.0
49,90049,133032.0,227182.0,191930.0,323905.0,233266.0,,94981.0,133305.0,14.972,0.001,34.0925404,-118.4910639,126563.0,2025.0,5.653424160361819,35817.0,99.99441637119963,13.0
50,90056,84387.0,120594.0,117852.0,155278.0,139375.0,,60486.0,65515.0,2.258,0.0,33.9935808,-118.3688386,70503.0,595.0,7.23404255319149,8214.0,99.86626139817628,4.0
51,90057,41748.0,51386.0,41133.0,52938.0,49787.0,,34328.0,43898.0,0.88,0.013,34.0617348,-118.2767572,22523.0,12733.0,27.009885028212636,46128.0,97.84905180094184,4.0
52,90058,27708.0,42192.0,30074.0,35888.0,41000.0,,,50903.0,5.786,0.171,34.0028436,-118.2163997,19057.0,876.0,28.73073138734011,3047.0,99.93440472285997,0.0
53,90059,44839.0,59815.0,49418.0,65436.0,69563.0,,15654.0,27912.0,3.162,0.016,33.9274687,-118.2487959,19658.0,9285.0,23.523599604773125,39278.0,99.511033416939,2.0
54,90061,47468.0,64948.0,51887.0,68608.0,65590.0,,19435.0,46334.0,2.713,0.001,33.9212798,-118.2741865,22274.0,6697.0,23.37848216155833,28334.0,98.91084270055156,0.0
55,90062,52661.0,71338.0,58143.0,75322.0,71672.0,,22513.0,46100.0,1.908,0.0,34.0034933,-118.3090927,27334.0,5222.0,15.57504175614412,33509.0,99.94333094726797,2.0
56,90063,50913.0,67776.0,57427.0,69296.0,64553.0,76890.0,30101.0,47684.0,3.285,0.0,34.0452484,-118.1857803,22385.0,8432.0,16.21289032456545,51985.0,99.95577603445624,0.0
57,90064,103045.0,161321.0,166926.0,227058.0,185833.0,,69606.0,90052.0,3.724,0.001,34.0353095,-118.4264862,89040.0,1883.0,7.254584681769148,25831.0,99.5184157805517,14.0
58,90065,76080.0,112869.0,81386.0,120583.0,103000.0,,62435.0,90743.0,5.49,0.071,34.1095946,-118.2286887,49880.0,6010.0,13.386195068712832,44830.0,99.85076953916744,4.0
59,90066,87589.0,124575.0,108728.0,152890.0,136336.0,,66888.0,93898.0,4.808,0.055,34.0020279,-118.4306565,69109.0,3765.0,6.953935946215507,53866.0,99.49022939677144,10.0
60,90067,111299.0,178513.0,135368.0,234399.0,146146.0,,101406.0,137967.0,0.43,0.0,34.0564373,-118.4136903,135876.0,176.0,6.633999246136449,2653.0,100.0,5.0
61,90068,87327.0,163696.0,174237.0,279485.0,185872.0,,66269.0,99179.0,8.004,0.173,34.1241792,-118.3273508,97971.0,2126.0,10.093049753133307,21050.0,99.93353589061908,1.0
62,90069,90546.0,151285.0,130856.0,222483.0,158618.0,,74236.0,126403.0,2.152,0.0,34.0939535,-118.3815305,113021.0,2188.0,10.915440259416313,20045.0,100.0,5.0
63,90071,61895.0,81146.0,,,,,61613.0,72305.0,0.135,0.0,34.0523793,-118.2552091,8682.0,269.0,85.94249201277955,313.0,100.0,1.0
64,90073,,,,,,,,,0.536,0.0,34.0573301,-118.4595342,13403.0,548.0,54.04339250493096,732.0,72.18934911242603,0.0
65,90077,222982.0,396259.0,,461650.0,,,121719.0,188606.0,7.262,0.135,34.108023,-118.4569641,145312.0,368.0,4.677173360447382,7868.0,100.0,7.0
66,90079,,,,,,,,,0.01,0.0,34.040587,-118.2554035,-666666666.0,0.0,,0.0,,
67,90089,,,,,,,,,0.326,0.0,34.0215432,-118.2855741,12857.0,13.0,0.3121998078770413,4164.0,100.0,7.0
68,90094,170634.0,234855.0,234559.0,302386.0,240817.0,,103372.0,145505.0,0.715,0.003,33.9753066,-118.4187082,110599.0,706.0,5.937263476578925,11820.0,99.40290976368682,3.0
69,90095,,,,,,,,,0.4,0.0,34.0711826,-118.4434044,-666666666.0,0.0,,0.0,,133.0
70,90201,46109.0,57422.0,46742.0,56694.0,54688.0,66860.0,20449.0,38012.0,5.988,0.212,33.9703429,-118.1713681,18363.0,22950.0,24.12386738705405,94746.0,99.59215422456744,9.0
71,90210,152037.0,283080.0,197632.0,355184.0,218854.0,,79120.0,150968.0,10.748,0.054,34.1005166,-118.4146299,138525.0,1744.0,9.092805005213764,19163.0,99.91136600625651,7.0
72,90211,96111.0,157395.0,141357.0,223517.0,162865.0,,62500.0,78240.0,0.7,0.0,34.0649562,-118.3829813,79080.0,1037.0,11.261946133796698,9166.0,99.5438748913988,25.0
73,90212,86496.0,158695.0,129225.0,202069.0,155714.0,,65903.0,107689.0,0.947,0.0,34.0621605,-118.4018817,93130.0,1042.0,9.576325705357965,10881.0,100.0,1.0
74,90220,61279.0,71566.0,63066.0,72770.0,73086.0,,40559.0,56547.0,6.918,0.061,33.8797798,-118.2296785,24250.0,9527.0,19.40286348546873,49090.0,99.97759719761308,1.0
75,90221,53683.0,66701.0,55878.0,67997.0,63308.0,,26760.0,41513.0,5.381,0.074,33.8858107,-118.2064586,20316.0,8875.0,17.02833899345728,52057.0,99.88104146280628,2.0
76,90222,57101.0,65933.0,64454.0,71142.0,76463.0,,19932.0,35958.0,2.707,0.011,33.9122401,-118.2376069,21833.0,5405.0,16.368371642288242,32908.0,99.65779352533237,0.0
77,90230,87469.0,121365.0,114526.0,150835.0,141716.0,,65597.0,79946.0,4.54,0.04,33.9978617,-118.3936166,67298.0,3481.0,10.876425558506485,31904.0,99.68442430870176,8.0
78,90232,98116.0,127266.0,125809.0,167808.0,155417.0,,73116.0,88783.0,2.163,0.014,34.0193227,-118.3919023,72223.0,1287.0,7.87059686888454,16339.0,99.92049902152642,5.0
79,90240,87107.0,125793.0,87572.0,129604.0,105545.0,,49912.0,70907.0,3.009,0.07,33.9557293,-118.1183459,40764.0,2532.0,9.728732805655882,25954.0,99.7233535695074,4.0
80,90241,72274.0,88910.0,77471.0,93342.0,91984.0,,42407.0,58330.0,4.877,0.057,33.9405817,-118.1294723,35676.0,4498.0,9.92038111201782,45004.0,99.2567433448755,2.0
81,90242,73037.0,88155.0,78621.0,93766.0,87260.0,,37906.0,53736.0,4.516,0.019,33.9217932,-118.1405877,31683.0,3615.0,8.672184238934868,41437.0,99.40506177281996,20.0
82,90245,115846.0,143417.0,125022.0,158403.0,155000.0,,81691.0,111050.0,5.348,0.002,33.9171449,-118.401554,74872.0,793.0,4.642585328727826,17069.0,99.92974650196123,0.0
