Zipcode,Land Area sq meters,Water Area sq meters,Land Area sq miles,Water Area sq miles,Latitude,Longitude,Population,Population Density per sq mile
91755,"8,159,701","130,227",3.15,0.05,34.0509646,−118.1143942,27254.0,8652.063492063493
91759,"213,754,101","2,067",82.531,0.001,34.2636985,−117.6995737,351.0,4.252947377349117
91761,"73,794,162","22,016",28.492,0.009,34.0356016,−117.5915284,60827.0,2134.8799663063314
91762,"37,039,177",0,14.301,0.0,34.059409,−117.6692980,63819.0,4462.555066079295
91763,"13,727,340",0,5.3,0.0,34.0720602,−117.6982882,39557.0,7463.584905660377
91764,"20,477,990","53,055",7.907,0.02,34.0740868,−117.6056183,57265.0,7242.3169343619575
91765,"48,091,993","13,084",18.568,0.005,33.9851655,−117.8120046,46248.0,2490.7367514002585
91766,"26,154,976","13,041",10.098,0.005,34.0422858,−117.7561062,71189.0,7049.81184392949
91767,"14,723,449","12,302",5.685,0.005,34.0830858,−117.7379975,50493.0,8881.79419525066
91768,"21,237,997",845,8.2,0.0,34.0643625,−117.7909303,35634.0,4345.609756097561
91770,"16,897,890","207,113",6.524,0.08,34.0651076,−118.0827912,63177.0,9683.782955242183
91773,"38,787,875","1,010,338",14.976,0.39,34.1074851,−117.8087522,33703.0,2250.4674145299145
91775,"8,027,333","37,002",3.099,0.014,34.1152612,−118.0883108,24517.0,7911.261697321716
91776,"8,652,744","1,122",3.341,0.0,34.0889524,−118.0944676,38675.0,11575.875486381323
91780,"9,959,482",0,3.845,0.0,34.1015089,−118.0558587,34854.0,9064.759427828349
91784,"23,673,021","504,270",9.14,0.195,34.1411459,−117.6555828,26296.0,2877.0240700218815
91786,"23,163,019",0,8.943,0.0,34.1052502,−117.6620703,54165.0,6056.69238510567
91789,"41,095,406","131,542",15.867,0.051,34.0181949,−117.8548209,43531.0,2743.4927837650466
91790,"14,906,720","69,778",5.756,0.027,34.0669637,−117.9370069,44601.0,7748.610145934676
91791,"17,201,726","53,301",6.642,0.021,34.0616241,−117.8922352,33314.0,5015.657934357121
91792,"9,949,691","1,425",3.842,0.001,34.0225813,−117.9023585,29806.0,7757.938573659552
91801,"11,199,185",0,4.324,0.0,34.0909238,−118.1277610,54161.0,12525.670675300647
91803,"8,443,052","1,730",3.26,0.001,34.0747361,−118.1459588,30093.0,9230.981595092026
91901,"201,692,264","1,797,136",77.874,0.694,32.8136236,−116.7269693,17896.0,229.80712432904437
91902,"29,051,736","3,030,217",11.217,1.17,32.673217,−117.0061014,17760.0,1583.3110457341534
91905,"216,462,404","77,537",83.577,0.03,32.678648,−116.3074847,1665.0,19.921748806489823
91906,"272,324,214","1,848,528",105.145,0.714,32.6580495,−116.4760421,4327.0,41.15269389890152
91910,"32,599,369","4,335,312",12.587,1.674,32.6370962,−117.0617582,74233.0,5897.5927544291735
91911,"32,964,409","224,755",12.728,0.087,32.6073516,−117.0503597,88593.0,6960.480829666876
91913,"23,557,926","73,830",9.096,0.029,32.6228947,−116.9868919,51054.0,5612.796833773087
91914,"17,208,153",0,6.644,0.0,32.6660395,−116.9542404,16889.0,2541.992775436484
91915,"20,017,949","1,500,481",7.729,0.579,32.6236021,−116.9498039,33991.0,4397.852244792341
91916,"160,323,519",0,61.901,0.0,32.9110346,−116.6320060,1775.0,28.674819469798546
91917,"134,252,206",0,51.835,0.0,32.641996,−116.7537670,1048.0,20.217999421240474
91931,"21,250,436",0,8.205,0.0,32.8375964,−116.5803049,530.0,64.59475929311395
91932,"11,076,347","1,499,538",4.277,0.579,32.5653537,−117.1145672,26323.0,6154.547580079495
91934,"133,302,466","18,532",51.468,0.007,32.6489918,−116.1525653,785.0,15.252195538975673
91935,"273,216,571","87,982",105.49,0.034,32.6943442,−116.7755144,9270.0,87.87562802161342
91941,"21,298,308","12,381",8.223,0.005,32.7592661,−116.9970908,33126.0,4028.4567676030642
91942,"14,944,740",0,5.77,0.0,32.777267,−117.0213441,40714.0,7056.152512998267
91945,"10,237,990",0,3.953,0.0,32.7331472,−117.0340676,26923.0,6810.776625347838
91948,"90,351,823","143,662",34.885,0.055,32.8649528,−116.4730364,115.0,3.2965457933209117
91950,"19,003,808","840,420",7.337,0.324,32.6690667,−117.0934869,62783.0,8557.039661987188
91962,"151,940,146","24,602",58.664,0.009,32.8467665,−116.5197751,2652.0,45.20660030001363
91963,"106,829,198",0,41.247,0.0,32.6479533,−116.5963568,479.0,11.612965791451499
91977,"25,686,990","1,349,731",9.918,0.521,32.7262367,−116.9943176,63267.0,6379.007864488809
91978,"30,923,183","88,959",11.94,0.034,32.6989207,−116.9309592,10949.0,917.0016750418761
91980,"9,563,967",0,3.693,0.0,32.5851909,−116.6325400,0.0,0.0
92003,"38,890,176","1,228,275",15.016,0.474,33.2852743,−117.1977769,5123.0,341.1694192860948
92004,"2,369,535,366","39,623",914.883,0.015,33.197705,−116.1674625,2284.0,2.4964940872220818
92007,"5,989,781","832,617",2.313,0.321,33.0230461,−117.2755809,11973.0,5176.394293125811
92008,"26,937,835","3,726,477",10.401,1.439,33.1424801,−117.3134440,27119.0,2607.34544755312
92009,"31,559,146",0,12.185,0.0,33.0953394,−117.2457689,46849.0,3844.809191629052
92010,"21,362,094","131,091",8.248,0.051,33.1653815,−117.2814268,15600.0,1891.3676042677014
92011,"16,931,044","572,639",6.537,0.221,33.106764,−117.2963265,24843.0,3800.3671408903165
92014,"16,330,006","1,197,873",6.305,0.463,32.9632316,−117.2503668,13133.0,2082.9500396510707
92019,"82,183,818",0,31.731,0.0,32.7788438,−116.8714160,44397.0,1399.168006050865
92020,"28,790,638",0,11.116,0.0,32.7956047,−116.9697540,57796.0,5199.352284994602
92021,"72,620,851","453,630",28.039,0.175,32.8357316,−116.8746171,71183.0,2538.7139341631296
92024,"46,684,817","2,643,272",18.025,1.021,33.0568676,−117.2575772,50994.0,2829.070735090153
92025,"57,944,595","993,655",22.373,0.384,33.0778135,−117.0331309,52276.0,2336.5663969963794
92026,"93,389,426","159,670",36.058,0.062,33.2109647,−117.1247883,50461.0,1399.439791447113
92027,"154,541,268","1,223,258",59.669,0.472,33.1316014,−116.9769367,57225.0,959.0407079052775
92028,"302,310,839","517,417",116.723,0.2,33.3864686,−117.2249571,48736.0,417.5355328427131
92029,"58,429,978","1,184,518",22.56,0.457,33.08553,−117.1239673,19361.0,858.2003546099291
92036,"1,306,152,002","3,627,824",504.308,1.401,33.0324132,−116.2651768,2619.0,5.193254915646787
92037,"31,199,702","5,226,831",12.046,2.018,32.8546424,−117.2517716,38261.0,3176.2410758758097
92040,"174,036,781","3,921,749",67.196,1.514,32.9089097,−116.8919717,45392.0,675.5163997857015
92054,"19,347,123","2,330,956",7.47,0.9,33.1930693,−117.3596758,40709.0,5449.665327978581
92055,"336,417,977","115,630",129.892,0.045,33.4111964,−117.4332594,12783.0,98.41252733039757
92056,"31,880,700","61,323",12.309,0.024,33.1995824,−117.2987641,53124.0,4315.866439190836
92057,"38,755,563","884,590",14.964,0.342,33.2546197,−117.2833110,59190.0,3955.4931836407377
92058,"114,621,577","4,885,070",44.256,1.886,33.2639736,−117.3447773,47011.0,1062.251446131598
92059,"71,350,990",0,27.549,0.0,33.3828219,−117.0519949,1578.0,57.27975607100076
92060,"178,363,014",0,68.866,0.0,33.350376,−116.8644434,457.0,6.636075857462318
92061,"90,161,792",0,34.812,0.0,33.3003523,−116.9305236,2273.0,65.29357692749628
92064,"109,651,366","223,435",42.337,0.086,32.9843523,−117.0135373,49768.0,1175.5202305312137
92065,"438,611,144","3,788,056",169.349,1.463,33.0403728,−116.8300750,36460.0,215.29504160048185
92066,"57,132,566",0,22.059,0.0,33.2154121,−116.5358340,350.0,15.866539734348791
92067,"57,997,882","200,876",22.393,0.078,33.0209084,−117.1903457,8968.0,400.4822935738847
92069,"47,841,182",0,18.472,0.0,33.1753026,−117.1576205,48048.0,2601.1260285838025
92070,"335,183,516","12,660,991",129.415,4.888,33.188575,−116.7432798,892.0,6.892554958853302
92071,"48,818,861","495,588",18.849,0.191,32.8506855,−116.9953140,57207.0,3035.015120165526
92075,"8,853,859","936,205",3.418,0.361,32.9972485,−117.2605796,12691.0,3712.9900526623755
92078,"43,252,977","318,960",16.7,0.123,33.1170652,−117.1808072,52810.0,3162.2754491017968
92081,"23,128,138",0,8.93,0.0,33.1645491,−117.2405496,30434.0,3408.0627099664057
92082,"325,634,508",0,125.728,0.0,33.2518281,−117.0027941,19636.0,156.17841689997456
92083,"14,368,941",0,5.548,0.0,33.1980841,−117.2483642,39276.0,7079.3078586878155
92084,"73,404,466","49,689",28.342,0.019,33.2272828,−117.2000848,50306.0,1774.9629525086445
92086,"573,294,919","1,160,392",221.35,0.448,33.3139983,−116.6295365,1259.0,5.687824711994579
92091,"3,341,813",0,1.29,0.0,33.052389,−117.1828166,1311.0,1016.2790697674418
92101,"13,943,616","14,653,609",5.384,5.658,32.7178067,−117.1720862,42423.0,7879.45765230312
92102,"11,630,850",0,4.491,0.0,32.715981,−117.1174946,42413.0,9443.999109329772
92103,"9,543,553",0,3.685,0.0,32.7478157,−117.1673324,34246.0,9293.351424694709
92104,"9,568,841",0,3.695,0.0,32.7419328,−117.1278140,45601.0,12341.27198917456
92105,"14,906,859","54,358",5.756,0.021,32.7404044,−117.0898680,75990.0,13201.876302988187
92106,"14,669,802","2,465,516",5.664,0.952,32.7098847,−117.2378575,20592.0,3635.5932203389834
92107,"7,832,865","1,191,976",3.024,0.46,32.7390553,−117.2454042,31667.0,10471.891534391534
92108,"11,417,126","45,205",4.408,0.017,32.7739826,−117.1427063,21013.0,4767.014519056261
92109,"19,707,152","11,114,025",7.609,4.291,32.7867719,−117.2342066,46777.0,6147.5883821789985
92110,"12,967,672","216,448",5.007,0.084,32.7652442,−117.2003912,30047.0,6000.99860195726
92111,"21,959,482",0,8.479,0.0,32.8064823,−117.1689655,49874.0,5882.061563863664
92113,"11,682,145","1,778,721",4.511,0.687,32.694637,−117.1197565,58231.0,12908.667701174905
92114,"21,466,478",0,8.288,0.0,32.707751,−117.0552967,69858.0,8428.81274131274
92115,"15,978,799",0,6.169,0.0,32.761549,−117.0719048,63755.0,10334.738207164857
92116,"8,753,687",0,3.38,0.0,32.7648411,−117.1231244,32361.0,9574.260355029586
92117,"22,540,529",0,8.703,0.0,32.8248932,−117.1997139,58651.0,6739.170401011146
92118,"19,917,489","14,121,982",7.69,5.453,32.6987955,−117.2091097,23426.0,3046.29388816645
92119,"17,002,042","648,076",6.565,0.25,32.8178882,−117.0319557,24915.0,3795.125666412795
92120,"19,892,453","2,147",7.681,0.001,32.7939936,−117.0737962,29764.0,3875.016273922666
92121,"32,475,651","61,317",12.539,0.024,32.8971234,−117.2016472,4668.0,372.27849110774383
92122,"13,929,405",0,5.378,0.0,32.8567981,−117.2101561,47842.0,8895.872071402007
92123,"22,303,299",0,8.611,0.0,32.8096148,−117.1342012,34103.0,3960.3994890256645
92124,"25,340,001",0,9.784,0.0,32.8282552,−117.0852620,32754.0,3347.710547833197
92126,"30,008,699",0,11.586,0.0,32.9119903,−117.1434214,83257.0,7186.00034524426
92127,"58,726,531","1,342,021",22.674,0.518,33.0187647,−117.1240976,50092.0,2209.226426744289
92128,"30,317,183","21,498",11.706,0.008,32.9969673,−117.0729787,52225.0,4461.387322740475
92129,"33,887,400",0,13.084,0.0,32.9635362,−117.1262205,56608.0,4326.505655762764
92130,"48,081,163",0,18.564,0.0,32.9476156,−117.2058249,56741.0,3056.507218271924
92131,"100,084,005","511,638",38.643,0.198,32.8996868,−117.0473184,34922.0,903.7083042206867
92132,"83,674",0,0.032,0.0,32.7136722,−117.1720388,0.0,0.0
92134,"194,448",0,0.075,0.0,32.7250551,−117.1454146,297.0,3960.0
92135,"1,089,521",0,0.421,0.0,32.6949759,−117.1943543,637.0,1513.0641330166272
92139,"9,266,342",0,3.578,0.0,32.6800314,−117.0488864,36172.0,10109.558412520963
92140,"1,386,034","32,140",0.535,0.012,32.7412792,−117.1977143,3443.0,6435.514018691589
92145,"27,562,167","11,500",10.642,0.004,32.8684963,−117.1431718,1948.0,183.04829919188123
92147,"225,431",0,0.087,0.0,32.7247448,−117.2187498,396.0,4551.724137931034
92154,"133,401,461","1,111,677",51.507,0.429,32.5791012,−116.9665283,89886.0,1745.122022249403
92155,"1,017,599","1,375,636",0.393,0.531,32.6581164,−117.1569459,463.0,1178.117048346056
92173,"7,450,579",0,2.877,0.0,32.5555802,−117.0511954,31248.0,10861.313868613139
92201,"41,991,717","20,661",16.213,0.008,33.7094532,−116.2369675,64967.0,4007.093073459569
92203,"47,805,522",0,18.458,0.0,33.7516006,−116.2414256,32360.0,1753.16935746018
92210,"37,086,533","699,457",14.319,0.27,33.6998921,−116.3295504,5137.0,358.75410294014944
92211,"38,396,201","140,409",14.825,0.054,33.7654007,−116.3342046,25530.0,1722.0910623946038
92220,"366,063,101",0,141.338,0.0,33.9399186,−116.8393314,33360.0,236.02994240756203
92222,"7,146,427",0,2.759,0.0,32.7834493,−114.5495304,0.0,0.0
92223,"116,506,949","35,531",44.984,0.014,33.9378213,−116.9813703,56925.0,1265.4499377556465
92225,"1,504,708,381","9,881,689",580.971,3.815,33.7172658,−114.6600840,22520.0,38.762692113719964
92227,"1,537,587,665","338,212",593.666,0.131,32.99005,−115.3368521,27165.0,45.75805250763897
92230,"30,242,142",0,11.677,0.0,33.9087853,−116.7687818,2363.0,202.3636207930119
92231,"177,549,830",0,68.552,0.0,32.6876362,−115.5643729,39884.0,581.8065118450227
92233,"393,812,527","1,504,364",152.052,0.581,33.1473839,−115.5004049,7520.0,49.45676479099256
92234,"38,237,663","538,009",14.764,0.208,33.8141312,−116.4655479,54812.0,3712.544026009212
92236,"160,192,656",0,61.851,0.0,33.7027649,−116.0724402,45975.0,743.318620555852
92239,"1,339,073,970","33,472",517.019,0.013,33.7680642,−115.2169301,295.0,0.5705786441117251
92240,"92,514,509","483,560",35.72,0.187,33.9515401,−116.5201040,36214.0,1013.8297872340426
92241,"343,419,840",0,132.595,0.0,33.84634,−116.2833017,7695.0,58.03386251366945
92242,"117,117,944","2,592,840",45.219,1.001,34.1887788,−114.3064842,1300.0,28.74897719984962
92243,"293,480,637","177,538",113.314,0.069,32.7701971,−115.5985905,50112.0,442.2401468485801
92249,"51,441,957",0,19.862,0.0,32.7260677,−115.4821502,8459.0,425.8886315577485
92250,"912,649,292","11,902",352.376,0.005,32.7773731,−115.1279806,8255.0,23.426680591186688
92251,"640,675,239","59,701",247.366,0.023,32.8692297,−115.7140392,24321.0,98.31989845006993
92252,"290,907,686",0,112.32,0.0,34.1479757,−116.2842180,9500.0,84.57977207977208
92253,"104,774,415","1,082,120",40.454,0.418,33.6567432,−116.2921622,41573.0,1027.661047115242
92254,"124,165,261","13,989",47.94,0.005,33.5438371,−115.9982749,8336.0,173.8840216937839
92256,"164,076,268",0,63.35,0.0,34.0720603,−116.6176658,3176.0,50.134175217048146
92257,"701,035,854","53,324",270.671,0.021,33.3362365,−115.5256891,1217.0,4.496233434686391
92258,"26,895,693","431,584",10.384,0.167,33.9215499,−116.5595645,517.0,49.78813559322034
92259,"745,653,489",0,287.898,0.0,32.7347854,−115.9464467,89.0,0.30913726389207286
92260,"81,219,078","390,602",31.359,0.151,33.6972305,−116.4062573,34553.0,1101.852737651073
92262,"91,164,852","129,957",35.199,0.05,33.8629593,−116.5566821,28463.0,808.630927014972
92264,"131,952,257","371,292",50.947,0.143,33.7128919,−116.4971072,20881.0,409.8573026871062
92266,"3,069,006,776","15,905,142",1184.95,6.141,33.1993483,−114.9153177,119.0,0.10042617831976032
92267,"109,818,076","11,227,768",42.401,4.335,34.2972182,−114.2071049,26.0,0.6131930850687484
92268,"180,478,390",0,69.683,0.0,34.16146,−116.5500142,360.0,5.166252888078871
92270,"66,308,232","1,008,457",25.602,0.389,33.7638377,−116.4303875,18537.0,724.0449964846496
92273,"8,320,889","14,423",3.213,0.006,32.8030209,−115.6979683,1847.0,574.8521630874571
92274,"559,868,916","309,081",216.167,0.119,33.4702422,−116.1137175,14105.0,65.2504776399728
92275,"105,009,685",0,40.544,0.0,33.2078171,−115.8808174,2531.0,62.42600631412787
92276,"95,849,201",0,37.008,0.0,33.8323082,−116.3864024,8158.0,220.43882403804582
92277,"4,141,635,594","53,327",1599.095,0.021,34.1277695,−115.6901344,24464.0,15.29865330077325
92278,"1,016,549",0,0.392,0.0,34.2350566,−116.0582649,5001.0,12757.65306122449
92280,"442,912,136",0,171.009,0.0,34.1293468,−114.9852253,0.0,0.0
92281,"34,175,871",0,13.195,0.0,33.0503434,−115.6126511,2865.0,217.12769988632058
92282,"195,327,643",0,75.416,0.0,33.962575,−116.6582957,1440.0,19.094091439482337
92283,"860,119,551","3,785,561",332.094,1.462,32.8915458,−114.7729430,1730.0,5.209368431829542
92284,"330,165,000",0,127.477,0.0,34.1600756,−116.4247167,25791.0,202.3188496748433
92285,"704,912,422",0,272.168,0.0,34.3376546,−116.5136717,2440.0,8.965050997913053
92301,"582,185,291",0,224.783,0.0,34.6517865,−117.5261052,34791.0,154.7759394616141
92304,"123,472,997",0,47.673,0.0,34.548749,−115.6908053,7.0,0.14683363748872527
92305,"300,215,869","80,461",115.914,0.031,34.1438202,−116.8683764,613.0,5.288403471539245
92307,"485,499,166","10,103",187.452,0.004,34.5712314,−117.1330923,38848.0,207.24238738450376
92308,"267,381,507","1,381,952",103.237,0.534,34.4202222,−117.1561341,42375.0,410.46330288559335
92309,"928,495,534",0,358.494,0.0,35.2491956,−116.1562359,634.0,1.7685093753312466
92310,"214,220,438",0,82.711,0.0,35.3344112,−116.7630136,9573.0,115.74034892577771
92311,"1,099,250,743","112,301",424.423,0.043,34.965648,−117.0015086,32619.0,76.8549301051074
92313,"9,363,302","19,737",3.615,0.008,34.0313174,−117.3149894,12559.0,3474.1355463347163
92314,"94,813,299","50,567",36.608,0.02,34.2541177,−116.7963779,10684.0,291.84877622377627
92315,"76,077,820","11,577,960",29.374,4.47,34.21713,−116.9416139,5307.0,180.669980254647
92316,"29,806,771","232,643",11.508,0.09,34.057066,−117.3911786,29176.0,2535.279805352798
92320,"36,140,315",0,13.954,0.0,33.9873802,−117.0502845,9022.0,646.5529597248101
92321,"18,455,067","123,656",7.126,0.048,34.2500413,−117.1472721,907.0,127.28038170081392
92322,"8,517,650",0,3.289,0.0,34.2541707,−117.3225759,558.0,169.65643052599575
92324,"71,953,182","1,078,769",27.781,0.417,34.0251856,−117.2888486,59628.0,2146.359022353407
92325,"22,633,972","308,820",8.739,0.119,34.2466993,−117.2760268,8647.0,989.4724796887515
92327,"63,480,183","623,274",24.51,0.241,34.867845,−116.8350512,835.0,34.06772745818033
92328,"4,593,487,471","5,735,576",1773.556,2.215,36.3717851,−116.9797639,578.0,0.32589892848040886
92332,"2,437,177,868",0,941.0,0.0,34.9070906,−115.3644590,94.0,0.09989373007438895
92333,"26,117,502",214,10.084,0.0,34.2606605,−116.9821489,409.0,40.55930186433955
92335,"45,213,924",0,17.457,0.0,34.0873327,−117.4651580,99242.0,5684.940138626339
92336,"51,497,987",0,19.883,0.0,34.1368622,−117.4603364,98731.0,4965.598752703315
92337,"35,483,425",0,13.7,0.0,34.0496649,−117.4714719,39600.0,2890.5109489051097
92338,"242,557,626",0,93.652,0.0,34.7877209,−116.2512079,0.0,0.0
92339,"204,453,188","10,732",78.94,0.004,34.083932,−116.8373681,1382.0,17.50696731694958
92341,"25,891,733","52,252",9.997,0.02,34.2366428,−117.0628377,248.0,24.8074422326698
92342,"254,433,782","1,893,983",98.237,0.731,34.7602939,−117.3359127,6725.0,68.45689505990615
92344,"97,391,162",0,37.603,0.0,34.3917722,−117.4065673,22415.0,596.0960561657314
92345,"256,034,749","3,683,200",98.856,1.422,34.3609721,−117.3130389,83731.0,846.9996762968359
92346,"70,235,980","213,653",27.118,0.082,34.1240486,−117.1775733,63395.0,2337.7461464709786
92347,"444,551,902",0,171.642,0.0,34.9500139,−117.2580469,683.0,3.979212547045595
92352,"29,871,279","3,045,998",11.533,1.176,34.2676864,−117.1867211,6319.0,547.9060088441863
92354,"12,898,935","2,371",4.98,0.001,34.0507885,−117.2501534,22991.0,4616.666666666666
92356,"946,834,679",0,365.575,0.0,34.4962515,−116.8925302,6199.0,16.956848799835875
92358,"187,413,585",0,72.361,0.0,34.2462322,−117.5676376,701.0,9.687538867622061
92359,"49,715,215","1,267,043",19.195,0.489,34.0852895,−117.0763108,9779.0,509.4555873925501
92363,"963,533,141","32,898,670",372.022,12.702,34.7110781,−114.5819822,5374.0,14.445382262339324
92364,"1,359,308,756","13,762",524.832,0.005,35.3595977,−115.4387719,5.0,0.009526858118407415
92365,"1,251,803,142","2,385,323",483.324,0.921,34.8966876,−116.5604179,2527.0,5.228376823828322
92368,"128,641,100","1,955,542",49.669,0.755,34.6643879,−117.3148750,1058.0,21.30101270410115
92371,"342,112,340",0,132.09,0.0,34.4383377,−117.5425936,20881.0,158.08161102278748
92372,"66,619,178",426,25.722,0.0,34.4486745,−117.6349160,5796.0,225.33240027991602
92373,"103,276,296","514,517",39.875,0.199,34.0119465,−117.1597020,32433.0,813.3667711598746
92374,"46,488,342","1,963",17.949,0.001,34.0685149,−117.1753218,44131.0,2458.6885063234718
92376,"34,509,641",0,13.324,0.0,34.1105366,−117.3800214,86719.0,6508.480936655659
92377,"18,635,607",0,7.195,0.0,34.1523635,−117.4040683,20606.0,2863.9332870048643
92378,"2,077,174",0,0.802,0.0,34.2319955,−117.2248872,163.0,203.24189526184537
92382,"52,884,969","23,184",20.419,0.009,34.2062184,−117.1122717,4816.0,235.85875899897155
92384,"600,532,645",618,231.867,0.0,36.0433376,−116.1191681,18.0,0.07763071070915654
92385,"23,849,160",0,9.208,0.0,34.2134443,−117.2305884,235.0,25.52128583840139
92386,"5,948,970",0,2.297,0.0,34.2370359,−116.8252914,2038.0,887.2442316064431
92389,"115,745,783","177,237",44.69,0.068,35.8245722,−116.2747546,212.0,4.743790557171627
92391,"5,124,597",0,1.979,0.0,34.2396894,−117.2366687,2263.0,1143.5068216270843
92392,"96,582,452",0,37.291,0.0,34.4790151,−117.4088340,56938.0,1526.8563460352366
92394,"82,980,085","409,480",32.039,0.158,34.5634635,−117.3535793,34836.0,1087.299853303786
92395,"43,748,025","923,956",16.891,0.357,34.5048281,−117.2989850,45692.0,2705.109229767332
92397,"123,269,444","62,257",47.595,0.024,34.3540894,−117.7537180,4638.0,97.44721084147494
92398,"259,487,622","417,730",100.189,0.161,34.9827929,−116.8516201,1643.0,16.3990058788889
92399,"138,945,859","11,185",53.647,0.004,34.0323124,−117.0105770,55070.0,1026.525248382948
92401,"1,761,503",0,0.68,0.0,34.1059063,−117.2918137,1971.0,2898.529411764706
92404,"81,804,862",0,31.585,0.0,34.1786334,−117.2389262,63261.0,2002.8811144530632
92405,"12,976,890",0,5.01,0.0,34.1457811,−117.3022171,30782.0,6144.111776447106
92407,"211,508,107","462,781",81.664,0.179,34.2251623,−117.3884871,67866.0,831.0393808777429
92408,"27,135,797","339,404",10.477,0.131,34.0836194,−117.2684597,14312.0,1366.0398969170565
92410,"21,329,794","59,472",8.235,0.023,34.1115753,−117.2636914,44685.0,5426.229508196721
92411,"12,185,470","436,199",4.705,0.168,34.1228089,−117.3258080,26361.0,5602.763018065887
92501,"14,568,609","200,009",5.625,0.077,33.9965229,−117.3741794,21967.0,3905.2444444444445
92503,"88,890,364","11,074,364",34.321,4.276,33.882884,−117.4517249,93032.0,2710.643629264882
92504,"58,743,696","147,563",22.681,0.057,33.9083525,−117.4013419,62423.0,2752.2155107799476
92505,"26,356,960",0,10.176,0.0,33.9266658,−117.4928043,54706.0,5375.982704402516
92506,"41,979,366",0,16.208,0.0,33.9347609,−117.3668824,45699.0,2819.5335636722607
92507,"55,365,190","16,383",21.377,0.006,33.9911223,−117.3068215,59612.0,2788.6045750105254
92508,"28,407,495",0,10.968,0.0,33.8903893,−117.3282568,38518.0,3511.852662290299
92509,"79,569,221","1,842,355",30.722,0.711,34.0032665,−117.4420038,82377.0,2681.3684004947595
92518,"20,374,213","36,554",7.867,0.014,33.8963369,−117.2770652,1266.0,160.92538451760518
92530,"199,658,011","14,320,553",77.088,5.529,33.633056,−117.3704612,56442.0,732.1762141967622
92532,"39,477,850",0,15.242,0.0,33.6905568,−117.3024354,25333.0,1662.0522241175697
92536,"278,372,071","234,848",107.48,0.091,33.4919941,−116.8169451,2639.0,24.55340528470413
92539,"337,359,588","242,383",130.255,0.094,33.5278668,−116.6476196,4433.0,34.033242485893055
92543,"49,551,494",0,19.132,0.0,33.6986453,−116.9791613,37492.0,1959.6487560108717
92544,"442,403,182","2,188,019",170.813,0.845,33.645934,−116.8816279,50392.0,295.0126746793277
92545,"77,045,732",0,29.748,0.0,33.7311185,−117.0358721,44278.0,1488.4361973914213
92548,"33,849,156",0,13.069,0.0,33.7639084,−117.1090324,8502.0,650.5470961818042
92549,"274,702,630","39,213",106.063,0.015,33.8038178,−116.6792727,2988.0,28.171935547740492
92551,"15,933,912","420,582",6.152,0.162,33.8827395,−117.2248780,34441.0,5598.34200260078
92553,"26,567,932",0,10.258,0.0,33.9233498,−117.2453332,74107.0,7224.312731526614
92555,"170,327,991","552,216",65.764,0.213,33.9109957,−117.1137654,46566.0,708.0773675567181
92557,"46,021,204","125,929",17.769,0.049,33.9725476,−117.2582588,54275.0,3054.476897968372
92561,"424,228,196","4,439",163.795,0.002,33.6304178,−116.5822901,1471.0,8.980738117769164
92562,"285,781,145","68,783",110.341,0.027,33.5312401,−117.3439986,65159.0,590.5239212985201
92563,"58,609,237","24,987",22.629,0.01,33.580016,−117.1473602,71394.0,3154.9781254142913
92567,"85,808,777","518,092",33.131,0.2,33.826142,−117.0844666,10012.0,302.19431951948326
92570,"275,255,199","273,280",106.277,0.106,33.7799465,−117.3225713,60370.0,568.0438853185543
92571,"101,292,583","8,058,009",39.109,3.111,33.8421292,−117.1949824,59417.0,1519.2666649620292
92582,"47,688,511","59,055",18.413,0.023,33.8076069,−117.0151631,18243.0,990.7673926030521
92583,"75,466,088","1,220,847",29.138,0.471,33.7969113,−116.9313714,32077.0,1100.8648500240236
92584,"75,391,076","381,612",29.109,0.147,33.6614305,−117.1822839,54130.0,1859.562334673125
92585,"44,305,400",0,17.106,0.0,33.7421668,−117.1672378,23868.0,1395.2998947737635
92586,"16,703,933",0,6.449,0.0,33.707681,−117.2004276,18615.0,2886.494030082183
92587,"18,504,029","1,776,590",7.144,0.686,33.693929,−117.2505038,18017.0,2521.976483762598
92590,"140,815,580","75,677",54.369,0.029,33.4829405,−117.2260843,5215.0,95.91863010171237
92591,"44,610,384",0,17.224,0.0,33.5343315,−117.1092109,41588.0,2414.5378541569903
92592,"285,274,088","4,305,547",110.145,1.662,33.5109389,−117.0215052,86115.0,781.8330382677381
92595,"55,849,506",0,21.564,0.0,33.6163487,−117.2603462,34034.0,1578.2786125023188
92596,"150,045,356","15,910",57.933,0.006,33.6689131,−117.0473138,34743.0,599.7100098389519
92602,"39,127,973","237,832",15.107,0.092,33.7364976,−117.7349328,21666.0,1434.1695902561728
92603,"25,865,592",0,9.987,0.0,33.6292589,−117.7940798,20183.0,2020.927205366977
92604,"8,670,279","134,955",3.348,0.052,33.6906888,−117.7891367,28330.0,8461.768219832737
92606,"8,960,239","16,819",3.46,0.006,33.6925228,−117.8312056,27410.0,7921.9653179190755
92610,"10,464,899",0,4.041,0.0,33.6833629,−117.6540797,17002.0,4207.374412274189
92612,"16,564,108","318,616",6.395,0.123,33.660018,−117.8244280,32069.0,5014.698983580923
92614,"11,470,956","128,927",4.429,0.05,33.6779511,−117.8345695,27471.0,6202.528787536689
92617,"5,785,221",0,2.234,0.0,33.6419726,−117.8410455,17213.0,7705.013428827216
