Zipcode,Population,Per Capita Income,Poverty Count,Poverty Rate,Insurance coverage status,Coverage Rate
90032,44881.0,30118.0,6435.0,14.337915821839976,44724.0,99.65018604754796
90033,47655.0,19690.0,12649.0,26.542860140593852,47193.0,99.03053194837898
90034,55061.0,59642.0,4883.0,8.868346016236538,54848.0,99.61315631753872
90035,26595.0,71347.0,2150.0,8.084226358338034,26382.0,99.1990975747321
90036,37713.0,75572.0,4081.0,10.821202237955081,37569.0,99.61816880120914
90037,69064.0,19150.0,18243.0,26.414629908490674,68860.0,99.7046218000695
90038,27979.0,38602.0,5308.0,18.97137138568212,27978.0,99.99642589084671
90039,28244.0,70997.0,2516.0,8.90808667327574,27968.0,99.0228013029316
90040,11839.0,24201.0,1858.0,15.693893065292677,11811.0,99.7634935383056
90041,28321.0,55385.0,2731.0,9.643021079764132,28123.0,99.30087214434519
90042,59151.0,44011.0,6249.0,10.564487498098089,58930.0,99.62637994285811
90043,44461.0,36219.0,7340.0,16.50885045320618,44177.0,99.36123793886777
90044,98990.0,19333.0,26351.0,26.619860591978988,98889.0,99.89796949186787
90045,41123.0,64266.0,3210.0,7.805850740461542,41085.0,99.90759429029983
90046,48170.0,79934.0,5613.0,11.652480797176667,47874.0,99.38550965331119
90047,52200.0,30203.0,9052.0,17.340996168582375,52142.0,99.88888888888889
90048,20411.0,98449.0,2306.0,11.297829601685367,20028.0,98.12356082504532
90049,35819.0,126563.0,2025.0,5.653424160361819,35817.0,99.99441637119965
90056,8225.0,70503.0,595.0,7.23404255319149,8214.0,99.86626139817629
90057,47142.0,22523.0,12733.0,27.009885028212633,46128.0,97.84905180094184
90058,3049.0,19057.0,876.0,28.73073138734011,3047.0,99.93440472285995
90059,39471.0,19658.0,9285.0,23.523599604773125,39278.0,99.51103341693901
90061,28646.0,22274.0,6697.0,23.37848216155833,28334.0,98.91084270055156
90062,33528.0,27334.0,5222.0,15.575041756144119,33509.0,99.94333094726795
90063,52008.0,22385.0,8432.0,16.21289032456545,51985.0,99.95577603445624
90064,25956.0,89040.0,1883.0,7.254584681769148,25831.0,99.5184157805517
90065,44897.0,49880.0,6010.0,13.386195068712832,44830.0,99.85076953916743
90066,54142.0,69109.0,3765.0,6.953935946215507,53866.0,99.49022939677145
90067,2653.0,135876.0,176.0,6.633999246136449,2653.0,100.0
90068,21064.0,97971.0,2126.0,10.093049753133307,21050.0,99.93353589061907
90069,20045.0,113021.0,2188.0,10.915440259416313,20045.0,100.0
90071,313.0,8682.0,269.0,85.94249201277955,313.0,100.0
90073,1014.0,13403.0,548.0,54.043392504930964,732.0,72.18934911242603
90077,7868.0,145312.0,368.0,4.677173360447382,7868.0,100.0
90079,0.0,-666666666.0,0.0,,0.0,
90089,4164.0,12857.0,13.0,0.3121998078770413,4164.0,100.0
90094,11891.0,110599.0,706.0,5.937263476578925,11820.0,99.40290976368682
90095,0.0,-666666666.0,0.0,,0.0,
90201,95134.0,18363.0,22950.0,24.12386738705405,94746.0,99.59215422456745
90210,19180.0,138525.0,1744.0,9.092805005213764,19163.0,99.91136600625651
90211,9208.0,79080.0,1037.0,11.261946133796698,9166.0,99.54387489139879
90212,10881.0,93130.0,1042.0,9.576325705357963,10881.0,100.0
90220,49101.0,24250.0,9527.0,19.40286348546873,49090.0,99.97759719761308
90221,52119.0,20316.0,8875.0,17.02833899345728,52057.0,99.88104146280627
90222,33021.0,21833.0,5405.0,16.368371642288242,32908.0,99.65779352533237
90230,32005.0,67298.0,3481.0,10.876425558506483,31904.0,99.68442430870176
90232,16352.0,72223.0,1287.0,7.87059686888454,16339.0,99.92049902152642
90240,26026.0,40764.0,2532.0,9.728732805655882,25954.0,99.72335356950741
90241,45341.0,35676.0,4498.0,9.92038111201782,45004.0,99.2567433448755
90242,41685.0,31683.0,3615.0,8.672184238934868,41437.0,99.40506177281996
90245,17081.0,74872.0,793.0,4.642585328727826,17069.0,99.92974650196125
90247,47682.0,30673.0,5675.0,11.901765865525775,47165.0,98.91573340044461
90248,11453.0,37921.0,1151.0,10.049768619575657,11403.0,99.56343316161704
90249,25929.0,34917.0,2322.0,8.955223880597014,25773.0,99.39835705194956
90250,96200.0,34278.0,13923.0,14.472972972972974,95774.0,99.55717255717256
90254,19551.0,106731.0,1127.0,5.764411027568922,19428.0,99.37087617001688
90255,71654.0,19694.0,12414.0,17.324922544449716,71526.0,99.82136377592319
90260,33282.0,30461.0,3007.0,9.03491376720149,33209.0,99.78066221981852
90262,66073.0,20300.0,10271.0,15.544927580100797,64011.0,96.87920935934497
90263,1803.0,8083.0,0.0,0.0,1803.0,100.0
90265,16652.0,110323.0,1286.0,7.722796060533269,16480.0,98.9670910401153
90266,35123.0,108762.0,1117.0,3.180252256356234,35072.0,99.85479600261937
90270,24950.0,19268.0,4967.0,19.907815631262526,24806.0,99.42284569138276
90272,21298.0,147351.0,933.0,4.380693022819044,21298.0,100.0
90274,24942.0,118474.0,821.0,3.2916365969048194,24942.0,100.0
90275,41941.0,81354.0,1683.0,4.012779857418755,41852.0,99.7877971436065
90277,36339.0,78742.0,2023.0,5.5670216571727345,35979.0,99.00932882027574
90278,42536.0,69014.0,2043.0,4.802990408124883,42509.0,99.93652435583977
90280,92262.0,22949.0,12551.0,13.603650473651124,92113.0,99.83850339251262
90290,5300.0,81722.0,289.0,5.452830188679245,5300.0,100.0
90291,25656.0,100282.0,2506.0,9.767695665731212,25641.0,99.94153414405987
90292,24481.0,102170.0,1790.0,7.311792818920796,24481.0,100.0
90293,13039.0,90690.0,860.0,6.595597821918859,12934.0,99.19472352174246
90301,37341.0,27105.0,6854.0,18.35515920837685,37085.0,99.31442650170054
90302,29307.0,31205.0,4216.0,14.385641655577166,29151.0,99.4677039615109
90303,23370.0,27807.0,3375.0,14.441591784338897,23370.0,100.0
90304,25725.0,22032.0,4618.0,17.951409135082603,25685.0,99.84450923226433
90305,14679.0,44376.0,1473.0,10.03474351113836,14566.0,99.23019279242455
90401,7480.0,96185.0,1445.0,19.318181818181817,7428.0,99.3048128342246
90402,11816.0,138786.0,818.0,6.922816519972918,11816.0,100.0
90403,24092.0,94822.0,2417.0,10.03237589241242,24028.0,99.73435165200067
90404,23975.0,58058.0,3249.0,13.551616266944734,23236.0,96.91762252346194
90405,26981.0,82231.0,2828.0,10.48144990919536,26864.0,99.56636151365775
90501,42536.0,42873.0,4850.0,11.402106451006206,42434.0,99.76020312206131
90502,18430.0,42433.0,1782.0,9.669017905588714,17653.0,95.78404774823657
90503,44280.0,55732.0,2525.0,5.702348690153568,43589.0,98.43947606142729
90504,32965.0,46288.0,2910.0,8.827544365235855,32927.0,99.88472622478386
90505,36214.0,56167.0,2194.0,6.058430441265809,35996.0,99.39802286408572
90506,0.0,-666666666.0,0.0,,0.0,
90601,30667.0,41017.0,2790.0,9.097727198617406,30648.0,99.938044151694
