ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years,Population Density per sq mile
92382,1277,4884,26.1,611,666,235.85875899897155
92384,0,23,0.0,0,0,0.0776307107091565
92385,0,167,0.0,0,0,25.52128583840139
92386,426,2064,20.6,317,109,887.2442316064431
92389,0,187,0.0,0,0,4.743790557171627
92391,411,2177,18.9,197,214,1143.5068216270845
92392,18638,61859,30.1,9303,9335,1526.8563460352366
92394,11843,39939,29.7,5689,6154,1087.299853303786
92395,14226,48479,29.3,6739,7487,2705.109229767332
92397,908,5059,17.9,384,524,97.44721084147494
92398,166,1394,11.9,60,106,16.3990058788889
92399,13997,55236,25.3,7389,6608,1026.525248382948
92401,546,2060,26.5,275,271,2898.529411764706
92404,18370,64090,28.7,8728,9642,2002.8811144530632
92405,10154,31550,32.2,4877,5277,6144.111776447106
92407,18872,67207,28.1,9904,8968,831.0393808777429
92408,3016,12478,24.2,1553,1463,1366.0398969170565
92410,14139,48398,29.2,6834,7305,5426.229508196721
92411,8019,26915,29.8,4026,3993,5602.763018065887
92415,0,0,,0,0,
92501,5060,22136,22.9,2164,2896,3905.244444444445
92503,23332,88617,26.3,11648,11684,2710.643629264882
92504,12640,57636,21.9,5646,6994,2752.2155107799476
92505,13037,52696,24.7,6650,6387,5375.982704402516
92506,10843,44344,24.5,4853,5990,2819.5335636722607
92507,11579,60949,19.0,5238,6341,2788.6045750105254
92508,9544,36500,26.1,5028,4516,3511.852662290299
92509,21134,80325,26.3,10463,10671,2681.3684004947595
92518,314,1132,27.7,128,186,160.92538451760518
92521,0,0,,0,0,
92530,16215,58249,27.8,8493,7722,732.1762141967622
92532,7837,27454,28.5,2792,5045,1662.0522241175695
92536,439,2569,17.1,287,152,24.55340528470413
92539,790,3760,21.0,352,438,34.033242485893055
92543,9627,38403,25.1,4601,5026,1959.6487560108717
92544,13920,51567,27.0,7076,6844,295.0126746793277
92545,10196,45219,22.5,4865,5331,1488.4361973914213
92548,1968,7110,27.7,989,979,650.5470961818042
92549,506,3535,14.3,208,298,28.171935547740492
92551,9692,36326,26.7,4495,5197,5598.34200260078
92553,21327,73945,28.8,11091,10236,7224.312731526614
92555,11273,44923,25.1,5528,5745,708.0773675567181
92557,14335,54936,26.1,7197,7138,3054.476897968372
92561,245,1622,15.1,118,127,8.980738117769164
92562,17231,64155,26.9,8299,8932,590.5239212985201
92563,21431,78139,27.4,11100,10331,3154.9781254142913
92567,3290,10721,30.7,1820,1470,302.19431951948326
92570,16063,58275,27.6,8080,7983,568.0438853185543
92571,18283,59896,30.5,9361,8922,1519.2666649620292
92582,7192,21961,32.7,3316,3876,990.767392603052
92583,9066,33781,26.8,4587,4479,1100.8648500240236
92584,15518,54663,28.4,8070,7448,1859.562334673125
92585,7705,27083,28.4,3268,4437,1395.2998947737635
92586,2809,20152,13.9,1244,1565,2886.494030082183
92587,5139,18926,27.2,2229,2910,2521.976483762598
92590,1108,5212,21.3,535,573,95.91863010171237
92591,10048,41047,24.5,4742,5306,2414.5378541569903
92592,23491,81636,28.8,11834,11657,781.8330382677381
92595,8130,34698,23.4,3778,4352,1578.2786125023188
92596,11615,35726,32.5,5651,5964,599.7100098389519
92602,7086,26663,26.6,3867,3219,1434.1695902561728
92603,3706,19329,19.2,1860,1846,2020.927205366977
92604,5971,29080,20.5,2998,2973,8461.768219832737
92606,5293,24431,21.7,2784,2509,7921.9653179190755
92610,2609,13107,19.9,1316,1293,4207.374412274189
92612,4112,34868,11.8,2167,1945,5014.698983580923
92614,6884,29544,23.3,3055,3829,6202.528787536689
92617,2194,20432,10.7,1141,1053,7705.013428827216
92618,14473,59386,24.4,6225,8248,2634.3031123139376
92620,16595,61110,27.2,7989,8606,8182.741116751269
92624,1254,6881,18.2,813,441,4242.182302062542
92625,2250,12546,17.9,1231,1019,5140.34401876466
92626,8713,50198,17.4,4446,4267,5253.297609233306
92627,12731,62181,20.5,6388,6343,9758.830884651454
92629,4644,26144,17.8,1838,2806,5341.569480134413
92630,13406,66240,20.2,6149,7257,5769.975327386601
92637,51,17452,0.3,16,35,5407.757166947724
92646,10328,56033,18.4,4883,5445,7026.20792448143
92647,11319,60114,18.8,5619,5700,8157.643312101911
92648,8099,45667,17.7,3729,4370,5642.0214090117
92649,5519,35206,15.7,2488,3031,6356.319801453643
92651,3658,23981,15.3,1785,1873,1076.0371797778282
92653,5766,29923,19.3,2712,3054,4342.428179587123
92655,1718,8040,21.4,775,943,9667.774086378737
92656,12893,53143,24.3,6648,6245,6494.123530882721
92657,2182,9169,23.8,1101,1081,1083.0220508495
92660,7149,35926,19.9,3457,3692,3683.066361556064
92661,351,3300,10.6,105,246,5893.682588597842
92662,184,2346,7.8,77,107,13028.846153846154
92663,2181,21886,10.0,881,1300,6903.980553023397
92672,6889,38020,18.1,3414,3475,974.5803222450298
92673,8487,30633,27.7,3496,4991,2972.7316836487144
92675,8112,35099,23.1,4358,3754,2975.2726729418796
92676,461,1952,23.6,287,174,29.273701186499252
92677,10919,64259,17.0,5032,5887,3983.21780372127
92678,95,630,15.1,45,50,14.54936297383736
92679,6635,30971,21.4,3462,3173,1302.2442899702085
92683,19219,90630,21.2,10180,9039,9343.997531118195
92688,10750,44444,24.2,5185,5565,3372.6172465960663
92691,9773,48073,20.3,4827,4946,5700.467129998861
92692,8830,45977,19.2,4451,4379,5532.697230626019
92694,11862,35074,33.8,5920,5942,664.400448262981
92697,0,0,,0,0,
92701,13624,49462,27.5,5922,7702,16991.007751937985
92703,14234,61593,23.1,6541,7693,15659.59453088166
92704,18619,80767,23.1,9443,9176,11601.863102470636
92705,11274,46854,24.1,5607,5667,3991.515357203462
92706,8416,36548,23.0,3938,4478,11039.54802259887
92707,13834,59712,23.2,7074,6760,11999.617224880383
92708,10939,56754,19.3,5080,5859,6241.595253790376
92780,13422,54945,24.4,6114,7308,9348.74083519286
92782,6769,29838,22.7,2827,3942,4480.851063829788
92801,14850,64022,23.2,7115,7735,10452.551263710062
92802,11510,44316,26.0,5202,6308,9666.813090270152
92804,18664,84700,22.0,9704,8960,12375.157894736842
92805,17636,73310,24.1,9469,8167,11977.0281124498
92806,9431,40945,23.0,4435,4996,5234.413640505011
92807,7287,36117,20.2,3522,3765,3292.8767123287676
92808,4320,21080,20.5,2012,2308,4357.4
92821,9078,41604,21.8,4742,4336,2769.208999575492
92823,1352,5495,24.6,765,587,670.0643776824033
92831,6638,36470,18.2,2766,3872,6086.905362245756
92832,6686,26040,25.7,3617,3069,8941.968911917098
92833,12433,52799,23.5,6047,6386,6851.460615545123
92835,6079,26687,22.8,3657,2422,4564.761405348715
92840,11540,53826,21.4,5798,5742,10536.372453928225
92841,7301,34188,21.4,3588,3713,7453.947368421053
92843,10572,47549,22.2,5220,5352,12076.515151515152
92844,4169,22622,18.4,2139,2030,10808.00381133873
92845,3086,15530,19.9,1271,1815,6952.4236983842
92860,4588,25367,18.1,2104,2484,1926.7360373752388
92861,1228,5814,21.1,565,663,2814.921090387374
92865,4619,21140,21.8,2047,2572,5485.2441890833115
92866,2649,14873,17.8,1088,1561,8094.438614900315
92867,9521,44216,21.5,4431,5090,3702.1577938848623
92868,5040,27280,18.5,2582,2458,7719.97673742367
92869,7669,36429,21.1,3742,3927,2691.434085510689
92870,12575,53150,23.7,6223,6352,7905.186506167335
92879,11673,49111,23.8,5485,6188,5035.2091177368475
92880,21465,74645,28.8,10307,11158,2774.067848410758
92881,7429,31401,23.7,3154,4275,1007.3950822702902
92882,17363,69472,25.0,8744,8619,6362.645781901762
92883,9341,37211,25.1,4990,4351,648.5145883895198
92886,12023,50437,23.8,5902,6121,3958.0376427028696
92887,4042,20353,19.9,1935,2107,1715.728843597696
93001,6034,31751,19.0,3376,2658,328.54598546192557
93003,11314,53283,21.2,5667,5647,2475.872023093577
93004,6234,31151,20.0,2915,3319,4450.561957604211
93010,10258,47656,21.5,4577,5681,2113.3260513380665
93012,6459,36145,17.9,3069,3390,712.5533527464199
93013,3228,16459,19.6,1552,1676,411.3240376017979
93015,4682,18716,25.0,2611,2071,195.95206276673707
93021,8813,37980,23.2,4495,4318,800.0460337720492
93022,1271,6422,19.8,646,625,2104.8104491876397
93023,3297,21279,15.5,1535,1762,78.73180748534857
93030,14918,58511,25.5,7027,7891,4240.345780486076
93033,24204,82517,29.3,12216,11988,2637.117564839261
93035,5264,26286,20.0,2612,2652,5652.415987273812
93036,11750,46959,25.0,5837,5913,2647.6768357772908
93040,484,1838,26.3,286,198,4.896283178230619
93041,5704,23108,24.7,2934,2770,4099.676815784997
93042,0,107,0.0,0,0,4.501397611355139
93043,0,722,0.0,0,0,165.65656565656565
93060,9194,34337,26.8,4777,4417,365.60407584886474
93063,10848,57075,19.0,5430,5418,1555.5340503774155
93064,0,0,,0,0,0.0
93065,15311,72086,21.2,7439,7872,2412.791087846453
93066,436,2805,15.5,202,234,69.50550103367155
93067,235,999,23.5,104,131,635.1118760757315
93101,5547,29870,18.6,2392,3155,10196.752029981262
93103,3447,19653,17.5,1861,1586,3738.987986894794
93105,4268,26482,16.1,1770,2498,192.69789937610895
93106,88,5369,1.6,45,43,
93108,1473,11209,13.1,800,673,375.1929635612995
93109,1542,11626,13.3,830,712,3297.9842243645926
93110,2899,16403,17.7,1282,1617,1951.6328550222663
93111,3802,18165,20.9,1989,1813,2270.1905347264906
93117,7380,53345,13.8,3454,3926,352.79838647302756
93201,478,1209,39.5,306,172,17.43869969471821
93202,1489,4308,34.6,614,875,2756.0182173064413
93203,7485,20781,36.0,3718,3767,131.06158371408972
93204,3781,13423,28.2,1947,1834,184.5615724481704
93205,535,2320,23.1,165,370,93.24772697892875
93206,616,1709,36.0,306,310,10.62557216966738
93207,52,232,22.4,21,31,4.122845526903476
93208,0,127,0.0,0,0,14.276443867618427
93210,4596,18937,24.3,2517,2079,23.651720388920488
93212,5026,23391,21.5,2686,2340,190.63206560253772
93215,13257,53334,24.9,5511,7746,382.5314663202106
93218,309,796,38.8,186,123,12.597489641725568
93219,3093,9871,31.3,1542,1551,106.85450570803984
93220,0,0,,0,0,1.639881928501148
93221,3982,14423,27.6,1990,1992,110.5213341914966
93222,296,2036,14.5,63,233,16.698921758363284
93223,2994,10424,28.7,1533,1461,3494.0380277151144
93224,152,501,30.3,85,67,10.226442658875092
93225,839,5018,16.7,357,482,49.42612855434375
93226,0,55,0.0,0,0,1.0795865973273648
93227,44,227,19.4,0,44,
93230,19377,68572,28.3,9622,9755,266.9735684697148
93234,2275,6571,34.6,1249,1026,53.781686957681565
93235,1346,4360,30.9,633,713,1099.301036394312
93237,2,98,2.0,1,1,
93238,220,866,25.4,76,144,7.389432199678879
93239,331,1404,23.6,173,158,30.68170098662725
93240,1385,5470,25.3,596,789,105.19050248481504
93241,5384,15978,33.7,2560,2824,3365.2931854199683
93242,858,2683,32.0,382,476,84.86441344075456
93243,126,977,12.9,56,70,9.25908926790162
93244,16,121,13.2,6,10,41.5233728187492
93245,10168,37439,27.2,4811,5357,321.9308279783333
93246,0,1129,0.0,0,0,
93247,5518,17827,31.0,2619,2899,263.48670710018695
93249,749,1996,37.5,327,422,9.638613496026965
93250,5203,15126,34.4,2594,2609,163.9873177484538
93251,80,293,27.3,37,43,2.2115842221662327
93252,424,1680,25.2,242,182,7.121390597077095
93254,192,869,22.1,133,59,3.767668723870197
93255,0,872,0.0,0,0,3.588883705879634
93256,1776,5575,31.9,766,1010,77.86308638501427
93257,23865,79217,30.1,11417,12448,199.23140066143887
93258,206,1086,19.0,113,93,1401.025641025641
93260,40,178,22.5,12,28,6.554734721289456
93261,591,1889,31.3,324,267,377.3160173160173
93262,0,18,0.0,0,0,0.1714716843091977
93263,7631,22952,33.2,4137,3494,236.90743330406409
93265,622,3194,19.5,309,313,8.288894933765826
93266,549,1720,31.9,231,318,18.309954140814675
93267,1953,5811,33.6,726,1227,102.4673157613362
93268,4672,17124,27.3,2463,2209,269.95008807985903
93270,1629,5711,28.5,791,838,82.12230855922651
93271,402,2398,16.8,169,233,17.70834700224389
93272,1646,4548,36.2,767,879,58.64770886920073
93274,26090,78831,33.1,13084,13006,342.39945995502666
93276,41,150,27.3,11,30,31.41852286049238
93277,14121,54127,26.1,6499,7622,1347.1137262858883
93280,7357,27356,26.9,3729,3628,89.86040211533046
93283,367,2416,15.2,86,281,8.486812122047711
93285,173,2465,7.0,113,60,36.93150483473657
93286,3467,10418,33.3,1972,1495,144.18957084797137
93287,21,119,17.6,6,15,1.0447719611066224
93291,17992,61439,29.3,9682,8310,693.5401498865755
93292,12912,44759,28.8,6182,6730,372.7308379450085
93301,4356,13672,31.9,2364,1992,2946.091015169194
93304,14897,50158,29.7,7567,7330,6278.030505753278
93305,12173,36783,33.1,5931,6242,6685.447632215693
93306,22383,74769,29.9,10637,11746,763.2392673330388
93307,30300,89651,33.8,14736,15564,610.9380089792796
93308,13525,55150,24.5,7263,6262,160.21810858418047
93309,16431,62828,26.2,8220,8211,5617.011098354382
93311,14884,50535,29.5,6871,8013,218.9522530223471
93312,18330,59616,30.7,8842,9488,4177.2509173017215
93313,18267,59924,30.5,7996,10271,568.8089816131502
93314,8928,34156,26.1,4808,4120,346.3687778989622
93401,4312,28773,15.0,1967,2345,448.0233119847911
93402,2773,15572,17.8,1502,1271,583.7748225033337
93405,1729,24991,6.9,892,837,404.4293850800834
93407,0,309,0.0,0,0,
93408,1,11,9.1,1,0,
93409,0,2591,0.0,0,0,
93410,96,6523,1.5,36,60,0.0
93420,6840,32126,21.3,3970,2870,151.52282592729537
93422,6647,33781,19.7,3212,3435,494.3018286478472
93424,64,1174,5.5,31,33,47.453416149068325
93426,261,1566,16.7,132,129,7.921020459945102
93427,1275,5980,21.3,747,528,89.16619888596226
93428,828,6056,13.7,401,427,74.50731745189633
93429,0,64,0.0,0,0,12.751775105057238
93430,224,2941,7.6,32,192,37.36897859054416
93432,364,1434,25.4,199,165,13.15431478086
93433,2744,12755,21.5,1219,1525,6229.667282809612
93434,2929,8272,35.4,1637,1292,335.61343506094886
93436,13957,55591,25.1,7040,6917,244.3727224490333
93437,1061,3681,28.8,596,465,73.4932473291675
93440,90,846,10.6,90,0,30.732592424586073
93441,147,1085,13.5,51,96,22.295302708581488
93442,1420,11399,12.5,732,688,245.86484727427788
93444,4623,22079,20.9,2073,2550,342.25817303281445
93445,1504,6912,21.8,619,885,430.468245108983
93446,9962,45720,21.8,4870,5092,104.9638369698696
93449,952,8050,11.8,415,537,811.7492681942061
93450,269,830,32.4,162,107,4.736373243917688
93451,1086,4751,22.9,370,716,9.465076706698897
93452,89,307,29.0,24,65,4.817968394127334
93453,175,2096,8.3,102,73,3.4915524390967088
93454,12092,41110,29.4,5421,6671,97.06300727972554
93455,10383,44186,23.5,4746,5637,382.38102884379725
93458,20127,59789,33.7,10246,9881,1990.7801668015625
93460,1163,6280,18.5,661,502,27.36881327589654
93461,312,1369,22.8,162,150,4.884266340369124
93463,1310,8059,16.3,702,608,231.4522552287678
93465,2184,9829,22.2,1296,888,111.830523293595
93501,1391,5404,25.7,706,685,21.611639115355164
93505,3467,14952,23.2,2003,1464,215.21070439864656
93510,1370,7397,18.5,753,617,92.82315771070346
93512,16,313,5.1,4,12,2.4200587161786875
93513,299,1649,18.1,84,215,3.682336128481017
93514,2991,14692,20.4,1479,1512,14.321347078437253
93516,644,2583,24.9,283,361,84.21421071053553
93517,35,587,6.0,6,29,1.858163174584358
93518,102,894,11.4,57,45,2.5685380300885883
93519,0,0,,0,0,0.0
93522,0,86,0.0,0,0,1.8332552502393415
93523,1540,3867,39.8,555,985,97.24717320088769
93524,0,93,0.0,0,0,2.263817569432941
93526,215,855,25.1,84,131,14.331626742404424
93527,368,1734,21.2,205,163,4.825565790450519
93528,0,94,0.0,0,0,19.567876070118224
93529,17,302,5.6,0,17,5.511443250817375
93530,0,28,0.0,0,0,5.203816131830009
93531,43,425,10.1,0,43,19.03247319550608
93532,520,2768,18.8,194,326,21.609086141339976
93534,11883,42515,28.0,5449,6434,2099.3828137363507
93535,24534,80905,30.3,11727,12807,313.59290332029207
93536,16992,72131,23.6,8448,8544,269.60244696409757
93541,298,817,36.5,102,196,0.8381675011579947
93543,3559,12745,27.9,1876,1683,215.7662249405369
93544,178,1427,12.5,67,111,9.44627107144721
93545,391,1342,29.1,187,204,3.89137888274984
93546,1833,8689,21.1,733,1100,41.427660930529
93549,0,254,0.0,0,0,0.5520884312194886
93550,24358,81501,29.9,12173,12185,291.6714881930462
93551,13948,54478,25.6,6779,7169,601.4677426966822
93552,12668,43371,29.2,5470,7198,1034.7554630593131
93553,96,1136,8.5,63,33,26.452898804112177
93554,0,65,0.0,0,0,0.7329532834826387
93555,8700,33490,26.0,5110,3590,434.44575350886186
93558,0,17,0.0,0,0,0.4205318491032777
93560,6279,21300,29.5,3042,3237,124.97766979884956
93561,7205,31060,23.2,3506,3699,116.40304550364122
93562,559,1867,29.9,192,367,19.63128491620112
93563,72,222,32.4,47,25,11.080552176442588
93581,0,3611,0.0,0,0,
93591,2345,7340,31.9,1251,1094,88.22183951348151
93601,103,1206,8.5,66,37,35.79000504795558
93602,518,3038,17.1,264,254,29.989733244474863
93603,0,249,0.0,0,0,1.3094353640416048
93604,49,366,13.4,27,22,8.236750309440756
93605,36,97,37.1,8,28,10.701305693902274
93606,406,1129,36.0,219,187,1121.3872832369943
93608,289,1018,28.4,146,143,8.926912487542861
93609,1298,4889,26.5,479,819,87.38150687178143
93610,5470,23795,23.0,2489,2981,88.45814777097172
93611,12296,46620,26.4,6639,5657,4718.916820343589
93612,10081,37138,27.1,4493,5588,5257.113218731476
93614,2542,11760,21.6,1331,1211,94.438908955038
93615,1932,5767,33.5,853,1079,393.6983406873407
93616,637,2163,29.4,256,381,172.0258401683966
93618,10842,32334,33.5,4789,6053,477.8780903410959
93619,15693,50848,30.9,7372,8321,230.67520185286455
93620,2189,9363,23.4,1378,811,52.40900353444534
93621,0,173,0.0,0,0,1.5435328589367938
93622,3269,9419,34.7,1825,1444,20.680885827982113
93623,0,4,0.0,0,0,3.1493541155119034
93624,249,892,27.9,121,128,6.48697401741423
93625,2501,8396,29.8,1281,1220,320.97272044715106
93626,651,2583,25.2,198,453,24.765810316407347
93627,110,196,56.1,110,0,2.149054576363607
93628,0,310,0.0,0,0,4.607707147526347
93630,6555,20272,32.3,3388,3167,127.77092836888175
93631,4209,16588,25.4,2195,2014,195.81783598454103
93633,0,26,0.0,0,0,0.0
93634,0,29,0.0,0,0,0.0232303026392204
93635,16245,47683,34.1,8405,7840,106.37105360140863
93636,3435,13447,25.5,1457,1978,63.41789390019794
93637,12756,41324,30.9,6262,6494,146.5690015477116
93638,16330,51724,31.6,8064,8266,568.9200567225029
93640,5010,14162,35.4,2200,2810,85.97534335049295
93641,27,216,12.5,0,27,4.126677945198982
93643,422,3115,13.5,127,295,20.05954254537824
93644,1208,7169,16.9,702,506,70.62600321027287
93645,203,897,22.6,97,106,3.718904430856856
93646,3701,10157,36.4,1624,2077,327.76368355057883
93647,4003,11828,33.8,1895,2108,123.327534737882
93648,4852,15370,31.6,2503,2349,747.9766695302255
93650,660,2844,23.2,321,339,4616.0
93651,364,1580,23.0,146,218,140.57606092243444
93652,66,378,17.5,37,29,272.77131782945736
93653,254,1378,18.4,141,113,6.094881981771442
93654,8818,30476,28.9,4612,4206,306.43556475364164
93656,1624,6249,26.0,926,698,51.27978661390896
93657,10036,36053,27.8,5064,4972,161.89059088714998
93660,1444,3921,36.8,800,644,83.7213118116373
93662,7905,30191,26.2,3897,4008,391.1200729505144
93664,9,288,3.1,0,9,1.9667983181216544
93665,40,386,10.4,40,0,940.7265774378584
93666,272,704,38.6,116,156,4853.773584905661
93667,328,1909,17.2,196,132,17.936610388286848
93668,271,1025,26.4,103,168,25.22651306523156
93669,54,324,16.7,33,21,45.248868778280546
93670,0,108,0.0,0,0,
93673,74,378,19.6,36,38,901.1553273427472
93675,1587,4891,32.4,753,834,38.017261347271315
93701,2978,10602,28.1,1475,1503,6836.291913214991
93702,14483,45248,32.0,6919,7564,8452.03094777563
93703,9601,32603,29.4,4452,5149,6742.70111321151
93704,7670,29502,26.0,3985,3685,5411.339633129516
93705,11677,38777,30.1,5777,5900,7475.84789311408
93706,13081,41523,31.5,6100,6981,262.0656583820755
93710,6737,32730,20.6,3722,3015,5527.782277660781
93711,8590,39963,21.5,4244,4346,3448.6447931526395
93720,10956,48597,22.5,5092,5864,4475.1460588066275
93721,1068,8004,13.3,422,646,4152.376286134248
93722,24263,86387,28.1,11673,12590,4446.165803108808
93723,4094,13174,31.1,1910,2184,335.833069562465
93725,8359,26568,31.5,3700,4659,405.47156012596827
93726,12099,44790,27.0,5449,6650,6730.1363422661025
93727,25530,82176,31.1,12596,12934,3852.0271192610458
93728,4444,17892,24.8,2168,2276,5502.3011176857335
93730,3174,12461,25.5,1545,1629,1597.534629559029
93737,1923,6624,29.0,979,944,
93740,22,1174,1.9,20,2,
93741,2,77,2.6,0,2,
93901,7467,29498,25.3,3515,3952,2930.2107239724596
93905,21398,63121,33.9,9710,11688,6670.238095238095
93906,18816,66883,28.1,9070,9746,4806.410256410257
93907,6251,25124,24.9,3251,3000,446.33752705131496
93908,3412,12983,26.3,1838,1574,50.61216019921146
93920,409,1790,22.8,259,150,9.022708200569124
93921,259,2469,10.5,139,120,3099.7899159663866
93923,2032,12630,16.1,1029,1003,63.74215061931798
93924,1140,6563,17.4,567,573,34.33561310539178
93925,467,1352,34.5,177,290,35.931741708059604
93926,2437,8941,27.3,1369,1068,132.42301506939066
93927,7254,19983,36.3,3908,3346,87.3037402970726
93928,28,1040,2.7,0,28,26.53714940493242
93930,5473,16807,32.6,2895,2578,51.271219770839586
93932,15,370,4.1,7,8,6.615883391760457
93933,6067,27197,22.3,2758,3309,2346.9464218808544
93940,4598,31513,14.6,2357,2241,930.4820442775026
93943,0,12,0.0,0,0,0.0
93944,107,2605,4.1,0,107,
93950,2585,15098,17.1,1565,1020,5509.615384615385
93953,482,3416,14.1,251,231,467.0947030497592
93954,189,501,37.7,110,79,7.339511034401864
93955,7241,32610,22.2,3332,3909,1321.50868788259
93960,6453,26037,24.8,2840,3613,155.10914322140482
93962,0,198,0.0,0,0,3057.377049180328
94002,6395,27893,22.9,2628,3767,4801.0312944523475
94005,959,4756,20.2,497,462,1014.1921397379912
94010,10367,43458,23.9,4488,5879,2808.5978835978835
94014,6909,46331,14.9,3613,3296,7755.437333750587
94015,10292,65125,15.8,5535,4757,11527.404526166903
94018,589,3423,17.2,253,336,
94019,2832,15275,18.5,1542,1290,338.31703723546747
94020,339,2030,16.7,188,151,47.15272813914701
94021,34,123,27.6,0,34,52.348381212950294
94022,4515,20052,22.5,2369,2146,1113.7430041268583
94024,5901,24041,24.5,2649,3252,2865.2242233772513
94025,9500,41017,23.2,4856,4644,5259.533771667663
94027,1419,7142,19.9,611,808,1430.873284264969
94028,1089,6888,15.8,605,484,387.85289532936895
94030,4319,22825,18.9,2056,2263,6816.24184943687
94037,154,2649,5.8,116,38,514.903671392221
94038,776,3165,24.5,317,459,564.1630178511283
94040,7714,35667,21.6,3890,3824,9509.289617486338
94041,3258,15222,21.4,1513,1745,8796.983029541168
94043,6522,32670,20.0,3280,3242,3783.282099787184
94044,7338,38061,19.3,3646,3692,2563.42788971368
94060,145,1312,11.1,28,117,14.948537820617547
94061,8000,37539,21.3,3590,4410,9882.931882931882
94062,5722,26531,21.6,2777,2945,431.0126190770753
94063,7779,34807,22.3,4001,3778,5553.67579206398
94065,2697,11588,23.3,1456,1241,5057.977332170881
94066,8111,43369,18.7,3811,4300,7349.50495049505
94070,7328,31312,23.4,3531,3797,4969.776180362685
94074,48,151,31.8,0,48,7.654716083553172
94080,11389,66262,17.2,5477,5912,6608.66574965612
94085,3946,22996,17.2,1920,2026,6715.6276686592655
94086,9214,49217,18.7,4560,4654,11264.025646897184
94087,14312,58913,24.3,6780,7532,8650.432407828857
94089,3322,23447,14.2,1502,1820,3787.838948233361
94102,3252,34077,9.5,1852,1400,50247.73413897281
94103,3031,32400,9.4,1061,1970,22987.62736535662
94104,52,557,9.3,29,23,5615.384615384615
94105,624,13722,4.5,166,458,26255.57809330629
94107,2854,30340,9.4,1654,1200,16269.441401971522
94108,1130,12070,9.4,554,576,52461.24031007752
94109,3574,56333,6.3,1764,1810,51711.77015755329
94110,10330,69679,14.8,4765,5565,30445.60669456067
94111,476,4468,10.7,139,337,12154.078549848942
94112,13781,80880,17.0,7190,6591,25503.148425787105
94114,3813,33858,11.3,1972,1841,25326.353790613717
94115,3558,33299,10.7,1515,2043,29789.612676056346
94116,7428,43903,16.9,3579,3849,18445.764053840063
94117,4162,39496,10.5,2168,1994,34138.03921568628
94118,5650,40108,14.1,2657,2993,20569.07730673317
94121,7048,43304,16.3,3669,3379,17295.06903353057
94122,8580,59453,14.4,4397,4183,18805.035308566163
94123,3251,24721,13.2,1707,1544,24300.09319664492
94124,8541,37347,22.9,3825,4716,7776.634512325831
94127,3704,21184,17.5,1827,1877,10945.308310991955
94128,0,0,,0,0,51.58020274299344
94129,1011,3952,25.6,430,581,1700.2967359050444
94130,496,3136,15.8,134,362,3614.0749148694663
94131,4678,28705,16.3,2380,2298,15063.30365974283
94132,3310,27641,12.0,1571,1739,9718.071519795658
94133,2667,25460,10.5,1212,1455,40927.05167173252
94134,6546,40738,16.1,3217,3329,16915.20125048847
94158,1855,10205,18.2,1127,728,16783.636363636364
94188,0,0,,0,0,
94301,3314,17259,19.2,1732,1582,7371.308016877637
94303,11719,47989,24.4,5655,6064,5667.4961488328
94304,771,4489,17.2,456,315,913.4595381734968
94305,1117,17279,6.5,571,546,3406.4853556485355
94306,6178,27785,22.2,3167,3011,6768.665850673195
94401,6636,35392,18.8,3115,3521,11254.580520732885
94402,5849,26150,22.4,3174,2675,5141.782178217822
94403,8526,43858,19.4,3912,4614,7875.199715959524
94404,7872,36397,21.6,3895,3977,8295.632183908046
94501,13453,63340,21.2,6505,6948,8138.187783947501
94502,3117,14225,21.9,1324,1793,6082.474226804125
94503,5524,21791,25.3,2833,2691,751.1936928600511
94505,3405,15445,22.0,1516,1889,958.13339731286
94506,6616,26947,24.6,3475,3141,1454.920668953688
94507,3112,14503,21.5,1482,1630,1255.49205215217
94508,514,3406,15.1,230,284,254.98032848310743
94509,17605,70889,24.8,9697,7908,3972.426049071314
94510,5575,27223,20.5,2588,2987,969.938986769041
94511,299,1993,15.0,124,175,383.66336633663366
94512,0,57,0.0,0,0,0.8105552303327779
94513,17035,67580,25.2,8775,8260,830.0341123806384
94514,438,2023,21.7,148,290,69.33893109422897
94515,941,7024,13.4,419,522,64.64943254551234
94516,30,212,14.2,25,5,64.48934403542762
94517,2814,12349,22.8,1230,1584,271.765322158198
94518,5712,28287,20.2,2795,2917,5205.919509113878
94519,4308,20162,21.4,2064,2244,4479.056437389771
94520,8224,36699,22.4,3993,4231,3921.089951377634
94521,7519,41092,18.3,3650,3869,4429.515645977486
94523,6870,34964,19.6,3132,3738,4847.210657785179
94525,498,3599,13.8,288,210,1317.699836867863
94526,8270,33396,24.8,3665,4605,2561.7312072892937
94528,231,726,31.8,129,102,696.7071057192375
94530,4669,26483,17.6,2375,2294,5987.29792147806
94531,9739,44115,22.1,5062,4677,3005.631593954947
94533,19021,78129,24.3,9982,9039,3493.5186007280477
94534,9441,41395,22.8,4465,4976,496.3743806771263
94535,1478,3873,38.2,688,790,354.82191210164547
94536,15836,71445,22.2,8044,7792,5295.446472970093
94538,13861,66215,20.9,7061,6800,4067.4041832910166
94539,12828,53464,24.0,6387,6441,2193.6590229312064
94541,14128,67401,21.0,6513,7615,8876.341201716737
94542,2550,16188,15.8,1134,1416,1751.127037336724
94544,16392,77712,21.1,7554,8838,7152.392257121987
