ZIP Code,Population Under 18 years (Selected),Total Population,Population Under 5 years,Population 5 to 9 years,Population 10 to 14 years,Population 15 to 19 years,Percent Population Under 5 years,Percent Population 5 to 9 years,Percent Population 10 to 14 years,Percent Population Under 18 years (Selected),Male Population Under 5 years,Male Population 5 to 9 years,Male Population 10 to 14 years,Female Population Under 5 years,Female Population 5 to 9 years,Female Population 10 to 14 years,Female Population Under 18 years (Selected)
91401,7474,39179,2373,1797,2098,1956,6.1,4.6,5.4,19.1,1116,882,1212,1257,915,886,3531
91402,16688,67937,4066,4797,5102,4454,6.0,7.1,7.5,24.6,2170,2323,2823,1896,2474,2279,7788
91403,4306,25887,1512,959,1146,943,5.8,3.7,4.4,16.6,974,614,598,538,345,548,1719
91405,12361,55451,3131,3342,3733,3660,5.6,6.0,6.7,22.3,1698,1592,2071,1433,1750,1662,6146
91406,12035,53276,3399,2956,3572,3308,6.4,5.5,6.7,22.6,1808,1622,1759,1591,1334,1813,5953
91411,4664,23689,1419,1250,1269,1084,6.0,5.3,5.4,19.7,835,561,696,584,689,573,2186
91423,4991,31787,1634,1256,1172,1290,5.1,4.0,3.7,15.7,879,797,473,755,459,699,2405
91436,3479,16190,961,1113,867,979,5.9,6.9,5.4,21.5,389,750,394,572,363,473,1644
91501,3256,18951,819,1057,957,919,4.3,5.6,5.0,17.2,482,582,542,337,475,415,1420
91502,2067,12312,654,467,595,627,5.3,3.8,4.8,16.8,309,269,244,345,198,351,1059
91504,5789,27479,1484,2035,1427,1342,5.4,7.4,5.2,21.1,723,1175,878,761,860,549,2682
91505,6350,32156,1691,1597,1903,1916,5.3,5.0,5.9,19.7,860,729,857,831,868,1046,3273
91506,3387,19559,554,1182,982,1015,2.8,6.0,5.0,17.3,341,723,399,213,459,583,1553
91601,4630,35615,1445,1172,1149,1345,4.1,3.3,3.2,13.0,780,667,610,665,505,539,2229
91602,2432,19980,862,671,534,601,4.3,3.4,2.7,12.2,379,410,415,483,261,119,1072
91604,5480,32073,1761,1494,1401,1217,5.5,4.7,4.4,17.1,925,647,703,836,847,698,2792
91605,10529,51654,2371,3106,3175,3378,4.6,6.0,6.1,20.4,1384,1662,1469,987,1444,1706,5109
91606,8277,43552,2239,2091,2728,2273,5.1,4.8,6.3,19.0,1078,1167,1556,1161,924,1172,3811
91607,5192,30734,1302,1617,1691,885,4.2,5.3,5.5,16.9,648,901,674,654,716,1017,2737
91608,0,56,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
91701,7922,39323,1987,1762,2539,2727,5.1,4.5,6.5,20.1,1237,891,1128,750,871,1411,3656
91702,12966,62196,3216,3565,4198,4670,5.2,5.7,6.7,20.8,1612,1952,2147,1604,1613,2051,6292
91706,15377,72495,3814,3793,4965,5257,5.3,5.2,6.8,21.2,1769,1950,2512,2045,1843,2453,7647
91708,4704,15908,1546,1262,1611,340,9.7,7.9,10.1,29.6,814,486,901,732,776,710,2343
91709,17346,78341,4738,4213,5207,4949,6.0,5.4,6.6,22.1,2348,2349,2901,2390,1864,2306,7731
91710,17768,81466,4510,4806,4970,4959,5.5,5.9,6.1,21.8,2636,2199,2624,1874,2607,2346,8428
91711,6245,37542,1288,1591,2118,4160,3.4,4.2,5.6,16.6,713,639,1050,575,952,1068,3222
91722,7118,34470,1995,1873,2064,2085,5.8,5.4,6.0,20.6,926,919,1259,1069,954,805,3303
91723,3651,17964,969,639,1037,1471,5.4,3.6,5.8,20.3,519,446,441,450,193,596,1752
91724,5889,28575,1373,1982,1761,1374,4.8,6.9,6.2,20.6,702,1197,859,671,785,902,2731
91730,16581,71040,5706,4043,4385,4366,8.0,5.7,6.2,23.3,2783,1909,2294,2923,2134,2091,8538
91731,6486,28201,1887,1850,1431,1989,6.7,6.6,5.1,23.0,1087,991,728,800,859,703,2946
91732,13197,58888,3385,3225,4302,4028,5.7,5.5,7.3,22.4,1898,1425,2127,1487,1800,2175,6696
91733,9696,42953,2541,1948,3048,3130,5.9,4.5,7.1,22.6,1366,986,1673,1175,962,1375,4493
91737,5043,23108,1306,1031,1733,1500,5.7,4.5,7.5,21.8,767,646,909,539,385,824,2179
91739,10068,41319,2511,3012,3048,2551,6.1,7.3,7.4,24.4,1444,1744,1792,1067,1268,1256,4321
91740,6196,27131,1431,1671,1928,1652,5.3,6.2,7.1,22.8,732,744,725,699,927,1203,3408
91741,5693,26052,1140,1477,1938,1780,4.4,5.7,7.4,21.9,592,812,814,548,665,1124,2816
91744,17843,79380,3572,4733,6008,6067,4.5,6.0,7.6,22.5,1757,2750,3238,1815,1983,2770,8220
91745,10417,55489,2758,2972,2947,3321,5.0,5.4,5.3,18.8,1139,1388,1391,1619,1584,1556,5499
91746,6037,29429,1512,1359,2105,1986,5.1,4.6,7.2,20.5,805,471,1229,707,888,876,3101
91748,7960,43851,2295,1965,2237,2319,5.2,4.5,5.1,18.2,1237,1056,1102,1058,909,1135,3801
91750,6574,33436,1272,1632,2336,2270,3.8,4.9,7.0,19.7,674,835,1143,598,797,1193,3169
91752,8960,37173,2331,2394,2541,2720,6.3,6.4,6.8,24.1,1139,741,1359,1192,1653,1182,4756
91754,5908,33937,1282,1821,1678,1825,3.8,5.4,4.9,17.4,529,930,880,753,891,798,3017
91755,4479,26418,964,1356,1162,1514,3.6,5.1,4.4,17.0,530,756,523,434,600,639,2170
91759,36,299,7,13,8,8,2.3,4.3,2.7,12.0,0,13,4,7,0,4,15
91761,14878,61837,4001,3929,4159,4588,6.5,6.4,6.7,24.1,1880,1709,2171,2121,2220,1988,7893
91762,16006,62990,4750,4632,4669,3635,7.5,7.4,7.4,25.4,2563,2219,2279,2187,2413,2390,7942
91763,9570,37698,2385,2235,3088,2888,6.3,5.9,8.2,25.4,972,990,1699,1413,1245,1389,5068
91764,13782,55311,2996,3838,3876,4769,5.4,6.9,7.0,24.9,1343,1962,1813,1653,1876,2063,7022
91765,8805,45303,1938,2068,3064,2886,4.3,4.6,6.8,19.4,1105,959,1472,833,1109,1592,4474
91766,17123,69517,3946,4226,5383,6196,5.7,6.1,7.7,24.6,2100,2006,2606,1846,2220,2777,8697
91767,12372,50715,3549,3373,3268,3644,7.0,6.7,6.4,24.4,1720,1914,1553,1829,1459,1715,6344
91768,7804,35443,2306,1866,2522,3638,6.5,5.3,7.1,22.0,1132,898,1162,1174,968,1360,4187
91770,11041,59410,2883,2236,3260,3940,4.9,3.8,5.5,18.6,1375,1285,1612,1508,951,1648,4985
91773,6833,34066,1745,1859,2094,1915,5.1,5.5,6.1,20.1,982,902,903,763,957,1191,3513
91775,4697,24169,1352,1008,1397,1479,5.6,4.2,5.8,19.4,713,454,796,639,554,601,2168
91776,6580,37340,1876,1494,1905,1845,5.0,4.0,5.1,17.6,995,712,1307,881,782,598,2899
91780,7577,35556,1851,2023,2409,2109,5.2,5.7,6.8,21.3,999,961,1148,852,1062,1261,3878
91784,5062,26116,1108,1274,1627,1639,4.2,4.9,6.2,19.4,454,541,827,654,733,800,2762
91786,12589,56025,3681,3011,3780,3234,6.6,5.4,6.7,22.5,1914,1462,1854,1767,1549,1926,6437
91789,7779,41377,1798,2073,2612,1999,4.3,5.0,6.3,18.8,807,980,1305,991,1093,1307,4124
91790,9802,44855,2078,3020,2968,2751,4.6,6.7,6.6,21.9,1150,1681,1467,928,1339,1501,4683
91791,6011,33902,1382,1649,1878,1823,4.1,4.9,5.5,17.7,799,900,786,583,749,1092,2852
91792,5781,31208,1600,1603,1663,1662,5.1,5.1,5.3,18.5,874,607,891,726,996,772,2948
91801,8984,53320,2618,2523,2243,2288,4.9,4.7,4.2,16.8,1331,1253,973,1287,1270,1270,4655
91803,5619,29006,1421,1447,1662,1527,4.9,5.0,5.7,19.4,723,754,831,698,693,831,2739
91901,3982,18669,949,1110,1232,1182,5.1,5.9,6.6,21.3,568,449,550,381,661,682,2136
91902,2860,17121,652,956,776,677,3.8,5.6,4.5,16.7,390,384,458,262,572,318,1428
91905,101,1411,40,24,25,14,2.8,1.7,1.8,7.2,15,9,23,25,15,2,54
91906,1370,4281,374,264,502,283,8.7,6.2,11.7,32.0,176,133,290,198,131,212,549
91910,16142,76313,3888,4153,4701,5422,5.1,5.4,6.2,21.2,1843,2107,2223,2045,2046,2478,8175
91911,21272,87799,5610,5646,6196,5786,6.4,6.4,7.1,24.2,2929,2756,2981,2681,2890,3215,10800
91913,15361,56102,2688,4971,5227,4275,4.8,8.9,9.3,27.4,1364,2208,2348,1324,2763,2879,8099
91914,4256,17373,937,1258,1157,1479,5.4,7.2,6.7,24.5,629,687,555,308,571,602,1843
91915,10966,35608,2637,3047,3322,2927,7.4,8.6,9.3,30.8,1621,1899,1303,1016,1148,2019,5110
91916,338,1833,64,141,99,41,3.5,7.7,5.4,18.4,20,64,66,44,77,33,154
91917,351,851,0,119,149,83,0.0,14.0,17.5,41.2,0,24,74,0,95,75,226
91931,241,749,32,75,134,0,4.3,10.0,17.9,32.2,0,38,31,32,37,103,172
91932,5846,26157,1839,1537,1629,2136,7.0,5.9,6.2,22.3,1002,713,845,837,824,784,2807
91934,118,1251,35,25,25,33,2.8,2.0,2.0,9.4,23,25,0,12,0,25,37
91935,1869,9320,633,473,477,473,6.8,5.1,5.1,20.1,366,228,258,267,245,219,908
91941,6738,33602,1902,1853,1769,1803,5.7,5.5,5.3,20.1,1137,1016,875,765,837,894,3127
91942,8475,40995,2948,1936,2388,1886,7.2,4.7,5.8,20.7,1319,1057,1229,1629,879,1159,4185
91945,6018,27541,1480,1611,1677,1886,5.4,5.8,6.1,21.9,855,680,931,625,931,746,2918
91948,0,104,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
91950,13018,57844,3188,3336,4358,3657,5.5,5.8,7.5,22.5,1584,1835,2162,1604,1501,2196,6416
91962,417,2528,147,100,169,18,5.8,4.0,6.7,16.5,56,69,90,91,31,79,202
91963,156,624,52,67,15,62,8.3,10.7,2.4,25.0,25,15,15,27,52,0,79
91977,16264,65497,4315,4182,4943,4514,6.6,6.4,7.5,24.8,2219,2215,2522,2096,1967,2421,8064
91978,2542,11006,1100,532,530,696,10.0,4.8,4.8,23.1,493,347,141,607,185,389,1396
91980,17,103,0,0,0,17,0.0,0.0,0.0,16.5,0,0,0,0,0,0,0
92003,767,4404,182,233,156,338,4.1,5.3,3.5,17.4,120,132,73,62,101,83,381
92004,344,3200,170,0,105,171,5.3,0.0,3.3,10.8,52,0,105,118,0,0,168
92007,3071,11939,1198,679,773,541,10.0,5.7,6.5,25.7,720,451,560,478,228,213,1023
92008,4453,27373,901,1472,1242,1443,3.3,5.4,4.5,16.3,469,900,713,432,572,529,2023
92009,12293,46334,2165,2622,4651,3607,4.7,5.7,10.0,26.5,1107,1254,2274,1058,1368,2377,6025
92010,3682,16566,712,872,1310,1126,4.3,5.3,7.9,22.2,392,520,759,320,352,551,1529
92011,5682,24472,907,1795,1848,1708,3.7,7.3,7.6,23.2,460,934,984,447,861,864,2730
92014,2029,12532,506,349,753,590,4.0,2.8,6.0,16.2,341,296,389,165,53,364,748
92019,10482,45937,2529,2661,3367,3016,5.5,5.8,7.3,22.8,1455,1525,1984,1074,1136,1383,4877
92020,14033,59775,4118,4134,3679,3509,6.9,6.9,6.2,23.5,1972,1880,2054,2146,2254,1625,7283
92021,17270,69638,4367,4597,5626,4770,6.3,6.6,8.1,24.8,2015,2299,2699,2352,2298,2927,8576
92024,9894,50222,2226,2543,3226,3018,4.4,5.1,6.4,19.7,1118,1069,1629,1108,1474,1597,5159
92025,12109,50270,3022,3156,3763,3256,6.0,6.3,7.5,24.1,1508,1515,1709,1514,1641,2054,6237
92026,11254,53053,3860,2838,2930,2635,7.3,5.3,5.5,21.2,2457,1402,1830,1403,1436,1100,4645
92027,13069,55750,3363,3923,3607,3816,6.0,7.0,6.5,23.4,1681,1701,1969,1682,2222,1638,6554
92028,12453,51135,3745,3140,3632,2949,7.3,6.1,7.1,24.4,1597,1733,2068,2148,1407,1564,6004
92029,3898,19986,1343,895,1036,843,6.7,4.5,5.2,19.5,632,450,476,711,445,560,1987
92036,281,3075,136,43,83,66,4.4,1.4,2.7,9.1,80,13,45,56,30,38,124
92037,6225,37665,1594,1763,1617,2243,4.2,4.7,4.3,16.5,1043,1143,724,551,620,893,2585
92040,10332,45906,2732,2763,2845,2977,6.0,6.0,6.2,22.5,1449,1088,1004,1283,1675,1841,5739
92054,6901,37050,1931,1699,2212,1641,5.2,4.6,6.0,18.6,1073,781,1124,858,918,1088,3325
92055,0,10618,0,0,0,2429,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92056,11634,54190,3883,2875,3286,2482,7.2,5.3,6.1,21.5,2162,1434,1705,1721,1441,1581,5597
92057,13080,58022,2821,3846,4017,3835,4.9,6.6,6.9,22.5,1453,2067,1717,1368,1779,2300,6634
92058,12414,48272,4702,3676,2998,2970,9.7,7.6,6.2,25.7,2269,2110,1200,2433,1566,1798,6314
92059,477,1456,145,96,176,82,10.0,6.6,12.1,32.8,45,30,61,100,66,115,327
92060,0,506,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92061,186,1677,39,38,60,119,2.3,2.3,3.6,11.1,18,16,14,21,22,46,120
92064,10841,48783,2825,3507,2957,2789,5.8,7.2,6.1,22.2,1606,1874,1525,1219,1633,1432,5138
92065,8103,36836,2030,2049,2641,2524,5.5,5.6,7.2,22.0,1345,1247,1561,685,802,1080,3546
92066,42,319,0,0,28,20,0.0,0.0,8.8,13.2,0,0,15,0,0,13,27
92067,2250,9186,517,777,727,477,5.6,8.5,7.9,24.5,91,286,352,426,491,375,1415
92069,11473,46648,3221,3094,3201,3400,6.9,6.6,6.9,24.6,1892,1586,1494,1329,1508,1707,5492
92070,120,761,27,22,46,31,3.5,2.9,6.0,15.8,15,19,38,12,3,8,39
92071,13657,59795,4422,3642,3472,3440,7.4,6.1,5.8,22.8,2552,1854,1856,1870,1788,1616,6152
92075,2372,12072,540,720,773,478,4.5,6.0,6.4,19.6,285,282,418,255,438,355,1233
92078,13566,53019,3473,4224,3931,4337,6.6,8.0,7.4,25.6,2008,2124,2307,1465,2100,1624,6200
92081,6494,29475,1939,1529,1794,1865,6.6,5.2,6.1,22.0,708,687,1236,1231,842,558,3327
92082,4830,20678,1380,1180,1463,1337,6.7,5.7,7.1,23.4,725,598,685,655,582,778,2422
92083,9225,37864,2776,2159,2584,2638,7.3,5.7,6.8,24.4,1307,928,1344,1469,1231,1240,4677
92084,12046,49971,3364,3155,3392,3758,6.7,6.3,6.8,24.1,1953,1629,1840,1411,1526,1552,5346
92086,163,1409,36,35,72,47,2.6,2.5,5.1,11.6,7,6,29,29,29,43,111
92091,211,1288,52,90,61,8,4.0,7.0,4.7,16.4,0,78,24,52,12,37,109
92092,0,521,0,0,0,386,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92093,0,2044,0,0,0,1511,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92096,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92101,2090,46025,976,411,435,611,2.1,0.9,0.9,4.5,509,221,248,467,190,187,966
92102,8476,40051,2410,1860,3037,1921,6.0,4.6,7.6,21.2,1004,1020,1564,1406,840,1473,4201
92103,2979,34296,1034,702,865,666,3.0,2.0,2.5,8.7,499,288,511,535,414,354,1502
92104,6694,46613,2175,1927,1682,1391,4.7,4.1,3.6,14.4,1137,810,761,1038,1117,921,3484
92105,17282,72688,3870,4980,5079,5454,5.3,6.9,7.0,23.8,2019,2626,2709,1851,2354,2370,8380
92106,3796,20483,1382,988,953,1627,6.7,4.8,4.7,18.5,665,424,533,717,564,420,2078
92107,4158,29435,1785,902,919,1343,6.1,3.1,3.1,14.1,674,529,552,1111,373,367,2142
92108,2842,24201,1283,618,583,600,5.3,2.6,2.4,11.7,795,279,325,488,339,258,1189
92109,4528,44009,1661,1239,928,965,3.8,2.8,2.1,10.3,741,696,483,920,543,445,2118
92110,4526,30773,1468,1444,1029,2838,4.8,4.7,3.3,14.7,708,861,425,760,583,604,2225
92111,8256,47710,2113,2803,1828,3288,4.4,5.9,3.8,17.3,951,1294,990,1162,1509,838,4385
92113,14147,50983,3572,3805,4312,3848,7.0,7.5,8.5,27.7,1851,1836,2387,1721,1969,1925,6889
92114,14051,66487,3361,4162,4258,4285,5.1,6.3,6.4,21.1,1853,2451,2295,1508,1711,1963,6214
92115,10454,61456,3995,2599,2488,6788,6.5,4.2,4.0,17.0,1920,1527,1410,2075,1072,1078,5116
92116,3581,31836,1281,830,963,791,4.0,2.6,3.0,11.2,661,457,386,620,373,577,1745
92117,9556,54499,2719,2084,2909,3091,5.0,3.8,5.3,17.5,1561,1195,1442,1158,889,1467,4277
92118,3259,17602,636,842,1156,1153,3.6,4.8,6.6,18.5,293,524,611,343,318,545,1596
92119,5004,24419,1386,1514,1385,1124,5.7,6.2,5.7,20.5,490,802,752,896,712,633,2616
92120,6267,30241,1940,1777,1485,1826,6.4,5.9,4.9,20.7,832,1171,734,1108,606,751,2978
92121,613,4150,300,189,101,71,7.2,4.6,2.4,14.8,111,111,32,189,78,69,336
92122,6054,45988,1914,1548,1557,2543,4.2,3.4,3.4,13.2,1056,786,828,858,762,729,2734
92123,5933,32951,1912,1802,1392,1731,5.8,5.5,4.2,18.0,1036,979,815,876,823,577,2637
92124,8543,31121,3327,2575,1912,1293,10.7,8.3,6.1,27.5,1385,1513,916,1942,1062,996,4352
92126,15401,78111,5718,4478,3476,3304,7.3,5.7,4.5,19.7,2788,2188,1851,2930,2290,1625,7586
92127,14428,51107,4269,3999,4198,2950,8.4,7.8,8.2,28.2,2114,1885,2267,2155,2114,1931,7039
92128,9413,49273,2440,2536,3030,2396,5.0,5.1,6.1,19.1,1104,1559,1487,1336,977,1543,4499
92129,12267,52495,3089,3337,3666,3845,5.9,6.4,7.0,23.4,1554,1498,2003,1535,1839,1663,6155
92130,15484,57363,2862,4239,5227,4655,5.0,7.4,9.1,27.0,1382,2215,2651,1480,2024,2576,7608
92131,9365,35227,2068,2450,2864,2678,5.9,7.0,8.1,26.6,950,1303,1567,1118,1147,1297,4472
92132,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92134,0,241,0,0,0,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92135,0,1095,0,0,0,169,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92136,6,9630,0,0,0,929,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0
92139,7862,34930,1826,2510,2233,2518,5.2,7.2,6.4,22.5,782,1125,1213,1044,1385,1020,4160
92140,30,2807,0,0,0,1438,0.0,0.0,0.0,1.1,0,0,0,0,0,0,0
92145,0,2810,0,0,0,753,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92147,0,180,0,0,0,26,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92154,19045,83758,4187,4271,6432,6632,5.0,5.1,7.7,22.7,2437,2351,3090,1750,1920,3342,8979
92155,0,196,0,0,0,7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92161,0,12,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92173,7195,28609,2005,1953,2070,2018,7.0,6.8,7.2,25.1,954,1184,961,1051,769,1109,3591
92179,0,3031,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92182,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92201,13834,64325,3240,3448,3921,4894,5.0,5.4,6.1,21.5,1910,1975,1482,1330,1473,2439,6919
92203,8130,33558,1693,2491,2356,2439,5.0,7.4,7.0,24.2,683,1309,1291,1010,1182,1065,4062
92210,286,4832,80,104,34,88,1.7,2.2,0.7,5.9,48,101,16,32,3,18,83
92211,3129,26741,779,1117,829,638,2.9,4.2,3.1,11.7,278,806,264,501,311,565,1700
92220,7503,32797,1967,2020,2345,1796,6.0,6.2,7.2,22.9,1080,1207,1227,887,813,1118,3342
92222,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92223,17554,61686,4958,4647,5423,3925,8.0,7.5,8.8,28.5,2589,2468,2767,2369,2179,2656,8262
92225,4610,21189,1411,1167,1114,1370,6.7,5.5,5.3,21.8,837,470,524,574,697,590,2234
92227,8222,27540,2510,2324,2048,2058,9.1,8.4,7.4,29.9,1243,1313,1070,1267,1011,978,4101
92230,343,2039,178,20,134,11,8.7,1.0,6.6,16.8,90,20,47,88,0,87,176
92231,11135,38674,2814,2868,3689,3052,7.3,7.4,9.5,28.8,1481,1482,1738,1333,1386,1951,5300
92233,1109,6871,227,196,466,338,3.3,2.9,6.8,16.1,102,85,242,125,111,224,575
92234,10485,51964,2577,2666,3190,3484,5.0,5.1,6.1,20.2,1109,1097,1553,1468,1569,1637,5547
92236,9415,42506,2021,2507,2846,3210,4.8,5.9,6.7,22.1,1139,1457,1338,882,1050,1508,4284
92239,16,296,9,5,0,4,3.0,1.7,0.0,5.4,9,0,0,0,5,0,5
92240,10575,40755,2915,2339,3369,3541,7.2,5.7,8.3,25.9,1288,1267,1958,1627,1072,1411,5238
92241,1251,8232,268,528,344,203,3.3,6.4,4.2,15.2,60,215,110,208,313,234,785
92242,176,1230,60,25,76,18,4.9,2.0,6.2,14.3,51,17,54,9,8,22,47
92243,14520,49193,3248,4243,4623,3940,6.6,8.6,9.4,29.5,1790,1701,2563,1458,2542,2060,7061
92249,2269,7910,758,592,512,611,9.6,7.5,6.5,28.7,294,474,328,464,118,184,1031
92250,2161,8033,422,447,952,634,5.3,5.6,11.9,26.9,149,178,563,273,269,389,1083
92251,7975,27050,2198,1800,2505,2461,8.1,6.7,9.3,29.5,1122,778,1378,1076,1022,1127,4071
92252,1384,7911,397,326,347,461,5.0,4.1,4.4,17.5,153,110,118,244,216,229,901
92253,6932,37898,1620,2149,1810,1994,4.3,5.7,4.8,18.3,938,1372,1180,682,777,630,2569
92254,1728,9362,201,571,519,826,2.1,6.1,5.5,18.5,119,159,379,82,412,140,947
92256,633,3387,179,175,224,135,5.3,5.2,6.6,18.7,133,87,106,46,88,118,284
92257,389,1186,159,68,94,77,13.4,5.7,7.9,32.8,51,42,34,108,26,60,228
92258,107,547,15,24,53,29,2.7,4.4,9.7,19.6,0,24,28,15,0,25,55
92259,0,225,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92260,4186,31039,810,980,1527,1479,2.6,3.2,4.9,13.5,412,418,665,398,562,862,2224
92262,2941,25856,683,915,886,696,2.6,3.5,3.4,11.4,481,555,545,202,360,341,1190
92264,1186,20229,270,271,393,573,1.3,1.3,1.9,5.9,173,175,174,97,96,219,501
92266,0,170,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92267,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92268,0,405,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92270,1493,17257,303,334,468,525,1.8,1.9,2.7,8.7,105,169,326,198,165,142,646
92273,447,1631,247,100,100,0,15.1,6.1,6.1,27.4,139,50,25,108,50,75,233
92274,3027,15917,760,938,901,756,4.8,5.9,5.7,19.0,352,410,448,408,528,453,1603
92275,363,1406,0,29,146,278,0.0,2.1,10.4,25.8,0,13,114,0,16,32,161
92276,2257,8242,352,776,539,901,4.3,9.4,6.5,27.4,63,434,221,289,342,318,1342
92277,8194,27370,3906,1967,1479,1242,14.3,7.2,5.4,29.9,1975,945,835,1931,1022,644,3848
92278,0,3574,0,0,0,1123,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92280,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92281,831,2238,275,212,224,302,12.3,9.5,10.0,37.1,130,120,99,145,92,125,393
92282,255,1361,57,80,67,68,4.2,5.9,4.9,18.7,14,65,33,43,15,34,139
92283,662,1967,164,147,253,160,8.3,7.5,12.9,33.7,107,41,146,57,106,107,332
92284,5949,25741,1121,1839,1832,1849,4.4,7.1,7.1,23.1,697,765,1055,424,1074,777,3010
92285,216,2726,48,66,102,278,1.8,2.4,3.7,7.9,0,55,53,48,11,49,108
92301,12849,38565,3163,3382,4137,3511,8.2,8.8,10.7,33.3,1930,1823,1986,1233,1559,2151,6064
92304,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92305,202,500,89,69,44,0,17.8,13.8,8.8,40.4,46,38,6,43,31,38,112
92307,10693,40534,2963,3080,2777,2994,7.3,7.6,6.9,26.4,1563,1594,1676,1400,1486,1101,4817
92308,13210,43191,3388,3439,3906,3202,7.8,8.0,9.0,30.6,1574,1535,2147,1814,1904,1759,6525
92309,159,561,63,34,26,73,11.2,6.1,4.6,28.3,7,20,26,56,14,0,82
92310,2671,8967,1094,812,678,526,12.2,9.1,7.6,29.8,610,414,346,484,398,332,1301
92311,10378,34226,2877,2968,2846,2653,8.4,8.7,8.3,30.3,1322,1548,1371,1555,1420,1475,4988
92313,2803,13104,796,783,814,871,6.1,6.0,6.2,21.4,418,462,316,378,321,498,1337
92314,2385,10658,676,642,647,762,6.3,6.0,6.1,22.4,439,305,297,237,337,350,1079
92315,1134,5228,240,349,363,245,4.6,6.7,6.9,21.7,124,239,211,116,110,152,509
92316,7968,30656,1452,2082,2676,2728,4.7,6.8,8.7,26.0,898,1241,1687,554,841,989,3045
92317,46,567,27,19,0,0,4.8,3.4,0.0,8.1,27,9,0,0,10,0,10
92320,2251,10366,540,535,770,632,5.2,5.2,7.4,21.7,349,273,469,191,262,301,960
92321,158,784,34,30,81,13,4.3,3.8,10.3,20.2,9,16,13,25,14,68,107
92322,89,746,29,30,30,0,3.9,4.0,4.0,11.9,29,0,30,0,30,0,30
92324,14007,57593,3321,3747,4146,4842,5.8,6.5,7.2,24.3,1669,1881,2091,1652,1866,2055,7185
92325,1630,8449,499,442,542,329,5.9,5.2,6.4,19.3,159,141,425,340,301,117,831
92327,86,633,0,34,26,26,0.0,5.4,4.1,13.6,0,34,0,0,0,26,26
92328,56,1022,20,9,0,27,2.0,0.9,0.0,5.5,20,9,0,0,0,0,0
92332,21,177,0,10,11,0,0.0,5.6,6.2,11.9,0,0,0,0,10,11,21
92333,34,429,20,0,6,47,4.7,0.0,1.4,7.9,20,0,0,0,0,6,6
92335,27803,96704,6193,7815,9015,8353,6.4,8.1,9.3,28.8,3315,4124,5086,2878,3691,3929,13127
92336,27833,100571,6150,6991,8325,9462,6.1,7.0,8.3,27.7,3404,3451,4158,2746,3540,4167,13447
92337,9497,37292,2213,2645,2744,3139,5.9,7.1,7.4,25.5,1205,1164,1222,1008,1481,1522,4748
92338,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92339,313,1064,66,151,44,66,6.2,14.2,4.1,29.4,66,127,27,0,24,17,47
92341,56,331,24,20,0,25,7.3,6.0,0.0,16.9,0,20,0,24,0,0,36
92342,1409,6317,241,607,306,315,3.8,9.6,4.8,22.3,37,337,213,204,270,93,693
92344,5136,20448,722,1454,2127,1561,3.5,7.1,10.4,25.1,438,745,1314,284,709,813,2227
92345,25665,87476,6395,6957,7828,6743,7.3,8.0,8.9,29.3,3476,3584,3963,2919,3373,3865,12748
92346,15638,60025,4481,4019,4371,4705,7.5,6.7,7.3,26.1,2326,2176,2581,2155,1843,1790,7233
92347,105,601,0,0,105,0,0.0,0.0,17.5,17.5,0,0,82,0,0,23,23
92350,0,468,0,0,0,79,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92352,1220,6147,192,403,377,415,3.1,6.6,6.1,19.8,14,264,261,178,139,116,526
92354,4349,23054,978,1143,1366,1297,4.2,5.0,5.9,18.9,534,497,631,444,646,735,2306
92356,1719,7048,509,479,456,447,7.2,6.8,6.5,24.4,195,340,215,314,139,241,794
92358,49,762,7,0,35,65,0.9,0.0,4.6,6.4,0,0,35,7,0,0,7
