Zipcode,Population,Per Capita Income,Poverty Count,Poverty Rate
92082,19636.0,38055.0,1967.0,10.017315135465472
92102,42413.0,27580.0,7369.0,17.374389927616534
92131,34922.0,59213.0,1345.0,3.8514403527862093
92203,32360.0,36424.0,3369.0,10.411001236093943
92239,295.0,25366.0,7.0,2.3728813559322033
92258,517.0,10543.0,269.0,52.030947775628626
92268,360.0,33101.0,36.0,10.0
92281,2865.0,13960.0,1051.0,36.68411867364747
92352,6319.0,45751.0,577.0,9.131191644247508
92368,1058.0,17709.0,329.0,31.09640831758034
92373,32433.0,48371.0,2710.0,8.35568710880893
92374,44131.0,31875.0,5337.0,12.093539688654234
92386,2038.0,26721.0,578.0,28.361138370951913
92397,4638.0,40179.0,629.0,13.5618801207417
92549,2988.0,37877.0,372.0,12.449799196787149
93263,21854.0,15869.0,5466.0,25.011439553399835
93276,134.0,23639.0,14.0,10.447761194029852
93041,24102.0,26250.0,2639.0,10.949298813376483
93101,32650.0,37920.0,5008.0,15.33843797856049
93247,17334.0,15746.0,5215.0,30.085381331487252
93420,29915.0,43092.0,1607.0,5.371887013204078
93454,40600.0,23894.0,4439.0,10.933497536945813
93626,2464.0,46107.0,165.0,6.696428571428571
93501,4798.0,19526.0,1211.0,25.23968320133389
93012,35726.0,51959.0,2155.0,6.0320214969490005
96091,678.0,30964.0,62.0,9.144542772861357
96096,718.0,34636.0,81.0,11.28133704735376
96105,351.0,32564.0,69.0,19.65811965811966
96119,11.0,,0.0,0.0
96148,679.0,37038.0,0.0,0.0
96006,615.0,27048.0,104.0,16.910569105691057
96007,23670.0,26211.0,3468.0,14.651457541191382
96062,1217.0,40503.0,176.0,14.46179129005752
96063,250.0,26183.0,10.0,4.0
96088,5022.0,31482.0,261.0,5.197132616487456
96090,503.0,26245.0,69.0,13.717693836978132
96093,3469.0,25518.0,929.0,26.780051888152204
96108,158.0,37020.0,10.0,6.329113924050633
96110,87.0,29036.0,0.0,0.0
96115,167.0,26749.0,53.0,31.736526946107784
96116,149.0,44772.0,0.0,0.0
96117,304.0,19979.0,94.0,30.92105263157895
96145,2664.0,49054.0,101.0,3.7912912912912913
93249,1959.0,12627.0,451.0,23.021949974476772
93609,5328.0,16795.0,1024.0,19.21921921921922
93505,13993.0,20172.0,2881.0,20.58886586150218
93526,767.0,28876.0,44.0,5.736636245110821
93711,38680.0,50460.0,3203.0,8.28076525336091
93720,46725.0,43701.0,3047.0,6.5211342964151955
93267,6325.0,14285.0,2944.0,46.54545454545455
93422,34005.0,38325.0,2003.0,5.890310248492868
93635,41563.0,23208.0,5744.0,13.819984120491783
93640,13578.0,9893.0,5028.0,37.03049049933716
92069,48048.0,31865.0,4920.0,10.23976023976024
92086,1259.0,32298.0,161.0,12.787926926131851
92126,83257.0,37921.0,6031.0,7.243835353183516
92130,56741.0,76363.0,2668.0,4.702067288204296
92236,45975.0,19472.0,8609.0,18.725394235997825
92256,3176.0,30227.0,625.0,19.678841309823678
92283,1730.0,13830.0,663.0,38.323699421965316
92328,578.0,41663.0,65.0,11.245674740484429
96037,188.0,33983.0,2.0,1.0638297872340425
96002,33943.0,28930.0,5627.0,16.57779218100934
96019,10216.0,24495.0,1707.0,16.709083790133125
95448,17353.0,57057.0,1630.0,9.39318849766611
95148,48629.0,43061.0,2790.0,5.737317238684735
91724,27510.0,34045.0,2561.0,9.30934205743366
91103,26837.0,38734.0,5012.0,18.67570890934158
91008,1079.0,126055.0,45.0,4.170528266913809
91046,191.0,23262.0,0.0,0.0
91210,352.0,67839.0,17.0,4.829545454545454
91330,3136.0,5889.0,0.0,0.0
91371,0.0,-666666666.0,0.0,
91387,41145.0,36134.0,3872.0,9.410620974602017
