"Geographic Area Name (NAME)","Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)","Internal Point (Latitude) (INTPTLAT)","Internal Point (Longitude) (INTPTLON)"
"ZCTA5 90095","1,035,082","0","0.400","0.000","34.0711826","−118.4434044"
"ZCTA5 90201","15,509,600","550,228","5.988","0.212","33.9703429","−118.1713681"
"ZCTA5 90210","27,838,093","139,467","10.748","0.054","34.1005166","−118.4146299"
"ZCTA5 90211","1,813,406","0","0.700","0.000","34.0649562","−118.3829813"
"ZCTA5 90212","2,451,840","0","0.947","0.000","34.0621605","−118.4018817"
"ZCTA5 90220","17,917,669","156,703","6.918","0.061","33.8797798","−118.2296785"
"ZCTA5 90221","13,937,517","190,724","5.381","0.074","33.8858107","−118.2064586"
"ZCTA5 90222","7,009,949","28,429","2.707","0.011","33.9122401","−118.2376069"
"ZCTA5 90230","11,758,227","103,577","4.540","0.040","33.9978617","−118.3936166"
"ZCTA5 90232","5,600,908","37,209","2.163","0.014","34.0193227","−118.3919023"
"ZCTA5 90240","7,793,489","180,345","3.009","0.070","33.9557293","−118.1183459"
"ZCTA5 90241","12,630,265","147,567","4.877","0.057","33.9405817","−118.1294723"
"ZCTA5 90242","11,696,600","50,193","4.516","0.019","33.9217932","−118.1405877"
"ZCTA5 90245","13,850,727","4,084","5.348","0.002","33.9171449","−118.4015540"
"ZCTA5 90247","9,729,237","10,554","3.756","0.004","33.8917690","−118.2970060"
"ZCTA5 90248","12,309,183","170,404","4.753","0.066","33.8783395","−118.2841003"
"ZCTA5 90249","7,696,621","88,656","2.972","0.034","33.9013900","−118.3156967"
"ZCTA5 90250","17,529,205","15,608","6.768","0.006","33.9136508","−118.3509460"
"ZCTA5 90254","3,702,205","1,551,783","1.429","0.599","33.8642586","−118.3993032"
"ZCTA5 90255","9,650,344","8,354","3.726","0.003","33.9792475","−118.2174380"
"ZCTA5 90260","6,398,470","39,070","2.470","0.015","33.8885344","−118.3495638"
"ZCTA5 90262","12,359,842","0","4.772","0.000","33.9238313","−118.2013519"
"ZCTA5 90263","605,685","0","0.234","0.000","34.0392805","−118.7081459"
"ZCTA5 90265","287,514,072","18,899,707","111.010","7.297","34.0702448","−118.8510422"
"ZCTA5 90266","10,485,104","2,857,999","4.048","1.103","33.8917865","−118.4028145"
"ZCTA5 90270","3,080,014","0","1.189","0.000","33.9885572","−118.1876880"
"ZCTA5 90272","61,670,603","1,423,894","23.811","0.550","34.0925672","−118.5343628"
"ZCTA5 90274","31,010,576","2,606,409","11.973","1.006","33.7801000","−118.3724118"
"ZCTA5 90275","35,048,238","8,379,635","13.532","3.235","33.7531341","−118.3679729"
"ZCTA5 90277","9,245,270","3,537,592","3.570","1.366","33.8300058","−118.3871239"
"ZCTA5 90278","9,507,745","0","3.671","0.000","33.8736054","−118.3702644"
"ZCTA5 90280","19,113,822","426,895","7.380","0.165","33.9441585","−118.1927614"
"ZCTA5 90290","48,498,335","24,096","18.725","0.009","34.1077521","−118.6162183"
"ZCTA5 90291","6,383,459","869,948","2.465","0.336","33.9933964","−118.4651932"
"ZCTA5 90292","5,428,684","2,857,097","2.096","1.103","33.9760775","−118.4520658"
"ZCTA5 90293","7,096,785","3,999,384","2.740","1.544","33.9473054","−118.4398414"
"ZCTA5 90301","6,426,469","0","2.481","0.000","33.9564643","−118.3586812"
"ZCTA5 90302","4,955,207","2,993","1.913","0.001","33.9753500","−118.3560895"
"ZCTA5 90303","5,026,333","14,318","1.941","0.006","33.9362911","−118.3326393"
"ZCTA5 90304","4,246,478","0","1.640","0.000","33.9373602","−118.3587951"
"ZCTA5 90305","6,769,580","59,579","2.614","0.023","33.9581341","−118.3309045"
"ZCTA5 90401","1,954,199","0","0.755","0.000","34.0160989","−118.4924539"
"ZCTA5 90402","5,289,316","326,896","2.042","0.126","34.0346660","−118.5040391"
"ZCTA5 90403","3,656,079","247,223","1.412","0.095","34.0307553","−118.4921007"
"ZCTA5 90404","5,104,890","0","1.971","0.000","34.0266494","−118.4738350"
