"Geographic Area Name (NAME)","Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)","Internal Point (Latitude) (INTPTLAT)","Internal Point (Longitude) (INTPTLON)"
"ZCTA5 91786","23,163,019","0","8.943","0.000","34.1052502","−117.6620703"
"ZCTA5 91789","41,095,406","131,542","15.867","0.051","34.0181949","−117.8548209"
"ZCTA5 91790","14,906,720","69,778","5.756","0.027","34.0669637","−117.9370069"
"ZCTA5 91791","17,201,726","53,301","6.642","0.021","34.0616241","−117.8922352"
"ZCTA5 91792","9,949,691","1,425","3.842","0.001","34.0225813","−117.9023585"
"ZCTA5 91801","11,199,185","0","4.324","0.000","34.0909238","−118.1277610"
"ZCTA5 91803","8,443,052","1,730","3.260","0.001","34.0747361","−118.1459588"
"ZCTA5 91901","201,692,264","1,797,136","77.874","0.694","32.8136236","−116.7269693"
"ZCTA5 91902","29,051,736","3,030,217","11.217","1.170","32.6732170","−117.0061014"
"ZCTA5 91905","216,462,404","77,537","83.577","0.030","32.6786480","−116.3074847"
"ZCTA5 91906","272,324,214","1,848,528","105.145","0.714","32.6580495","−116.4760421"
"ZCTA5 91910","32,599,369","4,335,312","12.587","1.674","32.6370962","−117.0617582"
"ZCTA5 91911","32,964,409","224,755","12.728","0.087","32.6073516","−117.0503597"
"ZCTA5 91913","23,557,926","73,830","9.096","0.029","32.6228947","−116.9868919"
"ZCTA5 91914","17,208,153","0","6.644","0.000","32.6660395","−116.9542404"
"ZCTA5 91915","20,017,949","1,500,481","7.729","0.579","32.6236021","−116.9498039"
"ZCTA5 91916","160,323,519","0","61.901","0.000","32.9110346","−116.6320060"
"ZCTA5 91917","134,252,206","0","51.835","0.000","32.6419960","−116.7537670"
"ZCTA5 91931","21,250,436","0","8.205","0.000","32.8375964","−116.5803049"
"ZCTA5 91932","11,076,347","1,499,538","4.277","0.579","32.5653537","−117.1145672"
"ZCTA5 91934","133,302,466","18,532","51.468","0.007","32.6489918","−116.1525653"
"ZCTA5 91935","273,216,571","87,982","105.490","0.034","32.6943442","−116.7755144"
"ZCTA5 91941","21,298,308","12,381","8.223","0.005","32.7592661","−116.9970908"
"ZCTA5 91942","14,944,740","0","5.770","0.000","32.7772670","−117.0213441"
"ZCTA5 91945","10,237,990","0","3.953","0.000","32.7331472","−117.0340676"
"ZCTA5 91948","90,351,823","143,662","34.885","0.055","32.8649528","−116.4730364"
"ZCTA5 91950","19,003,808","840,420","7.337","0.324","32.6690667","−117.0934869"
"ZCTA5 91962","151,940,146","24,602","58.664","0.009","32.8467665","−116.5197751"
"ZCTA5 91963","106,829,198","0","41.247","0.000","32.6479533","−116.5963568"
"ZCTA5 91977","25,686,990","1,349,731","9.918","0.521","32.7262367","−116.9943176"
"ZCTA5 91978","30,923,183","88,959","11.940","0.034","32.6989207","−116.9309592"
"ZCTA5 91980","9,563,967","0","3.693","0.000","32.5851909","−116.6325400"
"ZCTA5 92003","38,890,176","1,228,275","15.016","0.474","33.2852743","−117.1977769"
"ZCTA5 92004","2,369,535,366","39,623","914.883","0.015","33.1977050","−116.1674625"
"ZCTA5 92007","5,989,781","832,617","2.313","0.321","33.0230461","−117.2755809"
"ZCTA5 92008","26,937,835","3,726,477","10.401","1.439","33.1424801","−117.3134440"
"ZCTA5 92009","31,559,146","0","12.185","0.000","33.0953394","−117.2457689"
"ZCTA5 92010","21,362,094","131,091","8.248","0.051","33.1653815","−117.2814268"
"ZCTA5 92011","16,931,044","572,639","6.537","0.221","33.1067640","−117.2963265"
"ZCTA5 92014","16,330,006","1,197,873","6.305","0.463","32.9632316","−117.2503668"
"ZCTA5 92019","82,183,818","0","31.731","0.000","32.7788438","−116.8714160"
"ZCTA5 92020","28,790,638","0","11.116","0.000","32.7956047","−116.9697540"
"ZCTA5 92021","72,620,851","453,630","28.039","0.175","32.8357316","−116.8746171"
"ZCTA5 92024","46,684,817","2,643,272","18.025","1.021","33.0568676","−117.2575772"
"ZCTA5 92025","57,944,595","993,655","22.373","0.384","33.0778135","−117.0331309"
"ZCTA5 92026","93,389,426","159,670","36.058","0.062","33.2109647","−117.1247883"
"ZCTA5 92027","154,541,268","1,223,258","59.669","0.472","33.1316014","−116.9769367"
"ZCTA5 92028","302,310,839","517,417","116.723","0.200","33.3864686","−117.2249571"
"ZCTA5 92029","58,429,978","1,184,518","22.560","0.457","33.0855300","−117.1239673"
"ZCTA5 92036","1,306,152,002","3,627,824","504.308","1.401","33.0324132","−116.2651768"
"ZCTA5 92037","31,199,702","5,226,831","12.046","2.018","32.8546424","−117.2517716"
"ZCTA5 92040","174,036,781","3,921,749","67.196","1.514","32.9089097","−116.8919717"
"ZCTA5 92054","19,347,123","2,330,956","7.470","0.900","33.1930693","−117.3596758"
"ZCTA5 92055","336,417,977","115,630","129.892","0.045","33.4111964","−117.4332594"
"ZCTA5 92056","31,880,700","61,323","12.309","0.024","33.1995824","−117.2987641"
"ZCTA5 92057","38,755,563","884,590","14.964","0.342","33.2546197","−117.2833110"
"ZCTA5 92058","114,621,577","4,885,070","44.256","1.886","33.2639736","−117.3447773"
"ZCTA5 92059","71,350,990","0","27.549","0.000","33.3828219","−117.0519949"
"ZCTA5 92060","178,363,014","0","68.866","0.000","33.3503760","−116.8644434"
"ZCTA5 92061","90,161,792","0","34.812","0.000","33.3003523","−116.9305236"
"ZCTA5 92064","109,651,366","223,435","42.337","0.086","32.9843523","−117.0135373"
"ZCTA5 92065","438,611,144","3,788,056","169.349","1.463","33.0403728","−116.8300750"
"ZCTA5 92066","57,132,566","0","22.059","0.000","33.2154121","−116.5358340"
"ZCTA5 92067","57,997,882","200,876","22.393","0.078","33.0209084","−117.1903457"
"ZCTA5 92069","47,841,182","0","18.472","0.000","33.1753026","−117.1576205"
"ZCTA5 92070","335,183,516","12,660,991","129.415","4.888","33.1885750","−116.7432798"
"ZCTA5 92071","48,818,861","495,588","18.849","0.191","32.8506855","−116.9953140"
"ZCTA5 92075","8,853,859","936,205","3.418","0.361","32.9972485","−117.2605796"
"ZCTA5 92078","43,252,977","318,960","16.700","0.123","33.1170652","−117.1808072"
"ZCTA5 92081","23,128,138","0","8.930","0.000","33.1645491","−117.2405496"
"ZCTA5 92082","325,634,508","0","125.728","0.000","33.2518281","−117.0027941"
"ZCTA5 92083","14,368,941","0","5.548","0.000","33.1980841","−117.2483642"
"ZCTA5 92084","73,404,466","49,689","28.342","0.019","33.2272828","−117.2000848"
"ZCTA5 92086","573,294,919","1,160,392","221.350","0.448","33.3139983","−116.6295365"
"ZCTA5 92091","3,341,813","0","1.290","0.000","33.0523890","−117.1828166"
"ZCTA5 92092","345,317","0","0.133","0.000","32.8755447","−117.2361440"
"ZCTA5 92093","2,302,505","0","0.889","0.000","32.8821184","−117.2370825"
"ZCTA5 92096","845,753","0","0.327","0.000","33.1281557","−117.1561943"
"ZCTA5 92101","13,943,616","14,653,609","5.384","5.658","32.7178067","−117.1720862"
"ZCTA5 92102","11,630,850","0","4.491","0.000","32.7159810","−117.1174946"
"ZCTA5 92103","9,543,553","0","3.685","0.000","32.7478157","−117.1673324"
"ZCTA5 92104","9,568,841","0","3.695","0.000","32.7419328","−117.1278140"
"ZCTA5 92105","14,906,859","54,358","5.756","0.021","32.7404044","−117.0898680"
"ZCTA5 92106","14,669,802","2,465,516","5.664","0.952","32.7098847","−117.2378575"
"ZCTA5 92107","7,832,865","1,191,976","3.024","0.460","32.7390553","−117.2454042"
"ZCTA5 92108","11,417,126","45,205","4.408","0.017","32.7739826","−117.1427063"
"ZCTA5 92109","19,707,152","11,114,025","7.609","4.291","32.7867719","−117.2342066"
"ZCTA5 92110","12,967,672","216,448","5.007","0.084","32.7652442","−117.2003912"
"ZCTA5 92111","21,959,482","0","8.479","0.000","32.8064823","−117.1689655"
"ZCTA5 92113","11,682,145","1,778,721","4.511","0.687","32.6946370","−117.1197565"
"ZCTA5 92114","21,466,478","0","8.288","0.000","32.7077510","−117.0552967"
"ZCTA5 92115","15,978,799","0","6.169","0.000","32.7615490","−117.0719048"
"ZCTA5 92116","8,753,687","0","3.380","0.000","32.7648411","−117.1231244"
"ZCTA5 92117","22,540,529","0","8.703","0.000","32.8248932","−117.1997139"
"ZCTA5 92118","19,917,489","14,121,982","7.690","5.453","32.6987955","−117.2091097"
"ZCTA5 92119","17,002,042","648,076","6.565","0.250","32.8178882","−117.0319557"
"ZCTA5 92120","19,892,453","2,147","7.681","0.001","32.7939936","−117.0737962"
"ZCTA5 92121","32,475,651","61,317","12.539","0.024","32.8971234","−117.2016472"
"ZCTA5 92122","13,929,405","0","5.378","0.000","32.8567981","−117.2101561"
"ZCTA5 92123","22,303,299","0","8.611","0.000","32.8096148","−117.1342012"
"ZCTA5 92124","25,340,001","0","9.784","0.000","32.8282552","−117.0852620"
"ZCTA5 92126","30,008,699","0","11.586","0.000","32.9119903","−117.1434214"
"ZCTA5 92127","58,726,531","1,342,021","22.674","0.518","33.0187647","−117.1240976"
"ZCTA5 92128","30,317,183","21,498","11.706","0.008","32.9969673","−117.0729787"
"ZCTA5 92129","33,887,400","0","13.084","0.000","32.9635362","−117.1262205"
"ZCTA5 92130","48,081,163","0","18.564","0.000","32.9476156","−117.2058249"
"ZCTA5 92131","100,084,005","511,638","38.643","0.198","32.8996868","−117.0473184"
"ZCTA5 92132","83,674","0","0.032","0.000","32.7136722","−117.1720388"
"ZCTA5 92134","194,448","0","0.075","0.000","32.7250551","−117.1454146"
"ZCTA5 92135","1,089,521","0","0.421","0.000","32.6949759","−117.1943543"
"ZCTA5 92136","2,466,539","754,643","0.952","0.291","32.6830131","−117.1229782"
"ZCTA5 92139","9,266,342","0","3.578","0.000","32.6800314","−117.0488864"
"ZCTA5 92140","1,386,034","32,140","0.535","0.012","32.7412792","−117.1977143"
"ZCTA5 92145","27,562,167","11,500","10.642","0.004","32.8684963","−117.1431718"
"ZCTA5 92147","225,431","0","0.087","0.000","32.7247448","−117.2187498"
"ZCTA5 92154","133,401,461","1,111,677","51.507","0.429","32.5791012","−116.9665283"
"ZCTA5 92155","1,017,599","1,375,636","0.393","0.531","32.6581164","−117.1569459"
"ZCTA5 92161","227,268","0","0.088","0.000","32.8740717","−117.2315635"
"ZCTA5 92173","7,450,579","0","2.877","0.000","32.5555802","−117.0511954"
"ZCTA5 92179","647,809","0","0.250","0.000","32.5839037","−116.9334746"
"ZCTA5 92182","540,993","0","0.209","0.000","32.7749830","−117.0742275"
"ZCTA5 92201","41,991,717","20,661","16.213","0.008","33.7094532","−116.2369675"
"ZCTA5 92203","47,805,522","0","18.458","0.000","33.7516006","−116.2414256"
"ZCTA5 92210","37,086,533","699,457","14.319","0.270","33.6998921","−116.3295504"
"ZCTA5 92211","38,396,201","140,409","14.825","0.054","33.7654007","−116.3342046"
"ZCTA5 92220","366,063,101","0","141.338","0.000","33.9399186","−116.8393314"
"ZCTA5 92222","7,146,427","0","2.759","0.000","32.7834493","−114.5495304"
"ZCTA5 92223","116,506,949","35,531","44.984","0.014","33.9378213","−116.9813703"
"ZCTA5 92225","1,504,708,381","9,881,689","580.971","3.815","33.7172658","−114.6600840"
"ZCTA5 92227","1,537,587,665","338,212","593.666","0.131","32.9900500","−115.3368521"
"ZCTA5 92230","30,242,142","0","11.677","0.000","33.9087853","−116.7687818"
"ZCTA5 92231","177,549,830","0","68.552","0.000","32.6876362","−115.5643729"
"ZCTA5 92233","393,812,527","1,504,364","152.052","0.581","33.1473839","−115.5004049"
"ZCTA5 92234","38,237,663","538,009","14.764","0.208","33.8141312","−116.4655479"
"ZCTA5 92236","160,192,656","0","61.851","0.000","33.7027649","−116.0724402"
"ZCTA5 92239","1,339,073,970","33,472","517.019","0.013","33.7680642","−115.2169301"
"ZCTA5 92240","92,514,509","483,560","35.720","0.187","33.9515401","−116.5201040"
"ZCTA5 92241","343,419,840","0","132.595","0.000","33.8463400","−116.2833017"
"ZCTA5 92242","117,117,944","2,592,840","45.219","1.001","34.1887788","−114.3064842"
"ZCTA5 92243","293,480,637","177,538","113.314","0.069","32.7701971","−115.5985905"
"ZCTA5 92249","51,441,957","0","19.862","0.000","32.7260677","−115.4821502"
"ZCTA5 92250","912,649,292","11,902","352.376","0.005","32.7773731","−115.1279806"
"ZCTA5 92251","640,675,239","59,701","247.366","0.023","32.8692297","−115.7140392"
"ZCTA5 92252","290,907,686","0","112.320","0.000","34.1479757","−116.2842180"
"ZCTA5 92253","104,774,415","1,082,120","40.454","0.418","33.6567432","−116.2921622"
"ZCTA5 92254","124,165,261","13,989","47.940","0.005","33.5438371","−115.9982749"
"ZCTA5 92256","164,076,268","0","63.350","0.000","34.0720603","−116.6176658"
"ZCTA5 92257","701,035,854","53,324","270.671","0.021","33.3362365","−115.5256891"
"ZCTA5 92258","26,895,693","431,584","10.384","0.167","33.9215499","−116.5595645"
"ZCTA5 92259","745,653,489","0","287.898","0.000","32.7347854","−115.9464467"
"ZCTA5 92260","81,219,078","390,602","31.359","0.151","33.6972305","−116.4062573"
"ZCTA5 92262","91,164,852","129,957","35.199","0.050","33.8629593","−116.5566821"
"ZCTA5 92264","131,952,257","371,292","50.947","0.143","33.7128919","−116.4971072"
"ZCTA5 92266","3,069,006,776","15,905,142","1,184.950","6.141","33.1993483","−114.9153177"
"ZCTA5 92267","109,818,076","11,227,768","42.401","4.335","34.2972182","−114.2071049"
"ZCTA5 92268","180,478,390","0","69.683","0.000","34.1614600","−116.5500142"
"ZCTA5 92270","66,308,232","1,008,457","25.602","0.389","33.7638377","−116.4303875"
"ZCTA5 92273","8,320,889","14,423","3.213","0.006","32.8030209","−115.6979683"
"ZCTA5 92274","559,868,916","309,081","216.167","0.119","33.4702422","−116.1137175"
"ZCTA5 92275","105,009,685","0","40.544","0.000","33.2078171","−115.8808174"
"ZCTA5 92276","95,849,201","0","37.008","0.000","33.8323082","−116.3864024"
"ZCTA5 92277","4,141,635,594","53,327","1,599.095","0.021","34.1277695","−115.6901344"
"ZCTA5 92278","1,016,549","0","0.392","0.000","34.2350566","−116.0582649"
"ZCTA5 92280","442,912,136","0","171.009","0.000","34.1293468","−114.9852253"
"ZCTA5 92281","34,175,871","0","13.195","0.000","33.0503434","−115.6126511"
"ZCTA5 92282","195,327,643","0","75.416","0.000","33.9625750","−116.6582957"
"ZCTA5 92283","860,119,551","3,785,561","332.094","1.462","32.8915458","−114.7729430"
"ZCTA5 92284","330,165,000","0","127.477","0.000","34.1600756","−116.4247167"
"ZCTA5 92285","704,912,422","0","272.168","0.000","34.3376546","−116.5136717"
"ZCTA5 92301","582,185,291","0","224.783","0.000","34.6517865","−117.5261052"
"ZCTA5 92304","123,472,997","0","47.673","0.000","34.5487490","−115.6908053"
"ZCTA5 92305","300,215,869","80,461","115.914","0.031","34.1438202","−116.8683764"
"ZCTA5 92307","485,499,166","10,103","187.452","0.004","34.5712314","−117.1330923"
"ZCTA5 92308","267,381,507","1,381,952","103.237","0.534","34.4202222","−117.1561341"
"ZCTA5 92309","928,495,534","0","358.494","0.000","35.2491956","−116.1562359"
"ZCTA5 92310","214,220,438","0","82.711","0.000","35.3344112","−116.7630136"
"ZCTA5 92311","1,099,250,743","112,301","424.423","0.043","34.9656480","−117.0015086"
"ZCTA5 92313","9,363,302","19,737","3.615","0.008","34.0313174","−117.3149894"
"ZCTA5 92314","94,813,299","50,567","36.608","0.020","34.2541177","−116.7963779"
"ZCTA5 92315","76,077,820","11,577,960","29.374","4.470","34.2171300","−116.9416139"
"ZCTA5 92316","29,806,771","232,643","11.508","0.090","34.0570660","−117.3911786"
"ZCTA5 92317","4,160,152","0","1.606","0.000","34.2450764","−117.2087315"
"ZCTA5 92320","36,140,315","0","13.954","0.000","33.9873802","−117.0502845"
"ZCTA5 92321","18,455,067","123,656","7.126","0.048","34.2500413","−117.1472721"
"ZCTA5 92322","8,517,650","0","3.289","0.000","34.2541707","−117.3225759"
"ZCTA5 92324","71,953,182","1,078,769","27.781","0.417","34.0251856","−117.2888486"
"ZCTA5 92325","22,633,972","308,820","8.739","0.119","34.2466993","−117.2760268"
"ZCTA5 92327","63,480,183","623,274","24.510","0.241","34.8678450","−116.8350512"
"ZCTA5 92328","4,593,487,471","5,735,576","1,773.556","2.215","36.3717851","−116.9797639"
"ZCTA5 92332","2,437,177,868","0","941.000","0.000","34.9070906","−115.3644590"
"ZCTA5 92333","26,117,502","214","10.084","0.000","34.2606605","−116.9821489"
"ZCTA5 92335","45,213,924","0","17.457","0.000","34.0873327","−117.4651580"
"ZCTA5 92336","51,497,987","0","19.883","0.000","34.1368622","−117.4603364"
"ZCTA5 92337","35,483,425","0","13.700","0.000","34.0496649","−117.4714719"
"ZCTA5 92338","242,557,626","0","93.652","0.000","34.7877209","−116.2512079"
"ZCTA5 92339","204,453,188","10,732","78.940","0.004","34.0839320","−116.8373681"
"ZCTA5 92341","25,891,733","52,252","9.997","0.020","34.2366428","−117.0628377"
"ZCTA5 92342","254,433,782","1,893,983","98.237","0.731","34.7602939","−117.3359127"
"ZCTA5 92344","97,391,162","0","37.603","0.000","34.3917722","−117.4065673"
"ZCTA5 92345","256,034,749","3,683,200","98.856","1.422","34.3609721","−117.3130389"
"ZCTA5 92346","70,235,980","213,653","27.118","0.082","34.1240486","−117.1775733"
"ZCTA5 92347","444,551,902","0","171.642","0.000","34.9500139","−117.2580469"
"ZCTA5 92350","172,867","0","0.067","0.000","34.0529395","−117.2615994"
"ZCTA5 92352","29,871,279","3,045,998","11.533","1.176","34.2676864","−117.1867211"
"ZCTA5 92354","12,898,935","2,371","4.980","0.001","34.0507885","−117.2501534"
"ZCTA5 92356","946,834,679","0","365.575","0.000","34.4962515","−116.8925302"
"ZCTA5 92358","187,413,585","0","72.361","0.000","34.2462322","−117.5676376"
"ZCTA5 92359","49,715,215","1,267,043","19.195","0.489","34.0852895","−117.0763108"
"ZCTA5 92363","963,533,141","32,898,670","372.022","12.702","34.7110781","−114.5819822"
"ZCTA5 92364","1,359,308,756","13,762","524.832","0.005","35.3595977","−115.4387719"
"ZCTA5 92365","1,251,803,142","2,385,323","483.324","0.921","34.8966876","−116.5604179"
"ZCTA5 92368","128,641,100","1,955,542","49.669","0.755","34.6643879","−117.3148750"
"ZCTA5 92369","963,202","0","0.372","0.000","34.1394113","−117.2196639"
"ZCTA5 92371","342,112,340","0","132.090","0.000","34.4383377","−117.5425936"
"ZCTA5 92372","66,619,178","426","25.722","0.000","34.4486745","−117.6349160"
"ZCTA5 92373","103,276,296","514,517","39.875","0.199","34.0119465","−117.1597020"
"ZCTA5 92374","46,488,342","1,963","17.949","0.001","34.0685149","−117.1753218"
"ZCTA5 92376","34,509,641","0","13.324","0.000","34.1105366","−117.3800214"
"ZCTA5 92377","18,635,607","0","7.195","0.000","34.1523635","−117.4040683"
"ZCTA5 92378","2,077,174","0","0.802","0.000","34.2319955","−117.2248872"
"ZCTA5 92382","52,884,969","23,184","20.419","0.009","34.2062184","−117.1122717"
"ZCTA5 92384","600,532,645","618","231.867","0.000","36.0433376","−116.1191681"
"ZCTA5 92385","23,849,160","0","9.208","0.000","34.2134443","−117.2305884"
"ZCTA5 92386","5,948,970","0","2.297","0.000","34.2370359","−116.8252914"
"ZCTA5 92389","115,745,783","177,237","44.690","0.068","35.8245722","−116.2747546"
"ZCTA5 92391","5,124,597","0","1.979","0.000","34.2396894","−117.2366687"
"ZCTA5 92392","96,582,452","0","37.291","0.000","34.4790151","−117.4088340"
"ZCTA5 92394","82,980,085","409,480","32.039","0.158","34.5634635","−117.3535793"
"ZCTA5 92395","43,748,025","923,956","16.891","0.357","34.5048281","−117.2989850"
"ZCTA5 92397","123,269,444","62,257","47.595","0.024","34.3540894","−117.7537180"
"ZCTA5 92398","259,487,622","417,730","100.189","0.161","34.9827929","−116.8516201"
"ZCTA5 92399","138,945,859","11,185","53.647","0.004","34.0323124","−117.0105770"
"ZCTA5 92401","1,761,503","0","0.680","0.000","34.1059063","−117.2918137"
"ZCTA5 92404","81,804,862","0","31.585","0.000","34.1786334","−117.2389262"
"ZCTA5 92405","12,976,890","0","5.010","0.000","34.1457811","−117.3022171"
"ZCTA5 92407","211,508,107","462,781","81.664","0.179","34.2251623","−117.3884871"
"ZCTA5 92408","27,135,797","339,404","10.477","0.131","34.0836194","−117.2684597"
"ZCTA5 92410","21,329,794","59,472","8.235","0.023","34.1115753","−117.2636914"
"ZCTA5 92411","12,185,470","436,199","4.705","0.168","34.1228089","−117.3258080"
"ZCTA5 92415","171,689","0","0.066","0.000","34.1050543","−117.2868479"
"ZCTA5 92501","14,568,609","200,009","5.625","0.077","33.9965229","−117.3741794"
"ZCTA5 92503","88,890,364","11,074,364","34.321","4.276","33.8828840","−117.4517249"
"ZCTA5 92504","58,743,696","147,563","22.681","0.057","33.9083525","−117.4013419"
"ZCTA5 92505","26,356,960","0","10.176","0.000","33.9266658","−117.4928043"
"ZCTA5 92506","41,979,366","0","16.208","0.000","33.9347609","−117.3668824"
"ZCTA5 92507","55,365,190","16,383","21.377","0.006","33.9911223","−117.3068215"
"ZCTA5 92508","28,407,495","0","10.968","0.000","33.8903893","−117.3282568"
"ZCTA5 92509","79,569,221","1,842,355","30.722","0.711","34.0032665","−117.4420038"
"ZCTA5 92518","20,374,213","36,554","7.867","0.014","33.8963369","−117.2770652"
"ZCTA5 92521","1,851,917","9,272","0.715","0.004","33.9671399","−117.3263716"
"ZCTA5 92530","199,658,011","14,320,553","77.088","5.529","33.6330560","−117.3704612"
"ZCTA5 92532","39,477,850","0","15.242","0.000","33.6905568","−117.3024354"
"ZCTA5 92536","278,372,071","234,848","107.480","0.091","33.4919941","−116.8169451"
"ZCTA5 92539","337,359,588","242,383","130.255","0.094","33.5278668","−116.6476196"
"ZCTA5 92543","49,551,494","0","19.132","0.000","33.6986453","−116.9791613"
"ZCTA5 92544","442,403,182","2,188,019","170.813","0.845","33.6459340","−116.8816279"
"ZCTA5 92545","77,045,732","0","29.748","0.000","33.7311185","−117.0358721"
"ZCTA5 92548","33,849,156","0","13.069","0.000","33.7639084","−117.1090324"
"ZCTA5 92549","274,702,630","39,213","106.063","0.015","33.8038178","−116.6792727"
"ZCTA5 92551","15,933,912","420,582","6.152","0.162","33.8827395","−117.2248780"
"ZCTA5 92553","26,567,932","0","10.258","0.000","33.9233498","−117.2453332"
"ZCTA5 92555","170,327,991","552,216","65.764","0.213","33.9109957","−117.1137654"
"ZCTA5 92557","46,021,204","125,929","17.769","0.049","33.9725476","−117.2582588"
"ZCTA5 92561","424,228,196","4,439","163.795","0.002","33.6304178","−116.5822901"
"ZCTA5 92562","285,781,145","68,783","110.341","0.027","33.5312401","−117.3439986"
"ZCTA5 92563","58,609,237","24,987","22.629","0.010","33.5800160","−117.1473602"
"ZCTA5 92567","85,808,777","518,092","33.131","0.200","33.8261420","−117.0844666"
"ZCTA5 92570","275,255,199","273,280","106.277","0.106","33.7799465","−117.3225713"
"ZCTA5 92571","101,292,583","8,058,009","39.109","3.111","33.8421292","−117.1949824"
"ZCTA5 92582","47,688,511","59,055","18.413","0.023","33.8076069","−117.0151631"
"ZCTA5 92583","75,466,088","1,220,847","29.138","0.471","33.7969113","−116.9313714"
"ZCTA5 92584","75,391,076","381,612","29.109","0.147","33.6614305","−117.1822839"
"ZCTA5 92585","44,305,400","0","17.106","0.000","33.7421668","−117.1672378"
"ZCTA5 92586","16,703,933","0","6.449","0.000","33.7076810","−117.2004276"
"ZCTA5 92587","18,504,029","1,776,590","7.144","0.686","33.6939290","−117.2505038"
"ZCTA5 92590","140,815,580","75,677","54.369","0.029","33.4829405","−117.2260843"
"ZCTA5 92591","44,610,384","0","17.224","0.000","33.5343315","−117.1092109"
"ZCTA5 92592","285,274,088","4,305,547","110.145","1.662","33.5109389","−117.0215052"
"ZCTA5 92595","55,849,506","0","21.564","0.000","33.6163487","−117.2603462"
"ZCTA5 92596","150,045,356","15,910","57.933","0.006","33.6689131","−117.0473138"
"ZCTA5 92602","39,127,973","237,832","15.107","0.092","33.7364976","−117.7349328"
"ZCTA5 92603","25,865,592","0","9.987","0.000","33.6292589","−117.7940798"
"ZCTA5 92604","8,670,279","134,955","3.348","0.052","33.6906888","−117.7891367"
"ZCTA5 92606","8,960,239","16,819","3.460","0.006","33.6925228","−117.8312056"
"ZCTA5 92610","10,464,899","0","4.041","0.000","33.6833629","−117.6540797"
"ZCTA5 92612","16,564,108","318,616","6.395","0.123","33.6600180","−117.8244280"
"ZCTA5 92614","11,470,956","128,927","4.429","0.050","33.6779511","−117.8345695"
"ZCTA5 92617","5,785,221","0","2.234","0.000","33.6419726","−117.8410455"
"ZCTA5 92618","53,592,089","0","20.692","0.000","33.6673066","−117.7335801"
"ZCTA5 92620","15,307,083","0","5.910","0.000","33.7066009","−117.7569481"
"ZCTA5 92624","3,891,585","2,340,792","1.503","0.904","33.4566486","−117.6668085"
"ZCTA5 92625","6,625,815","908,602","2.558","0.351","33.6019660","−117.8642535"
"ZCTA5 92626","25,132,272","14,888","9.704","0.006","33.6795911","−117.9085308"
"ZCTA5 92627","16,570,421","9,666","6.398","0.004","33.6481119","−117.9212030"
"ZCTA5 92629","13,103,804","3,032,515","5.059","1.171","33.4750606","−117.7056302"
"ZCTA5 92630","27,292,347","202,929","10.538","0.078","33.6449291","−117.6843122"
"ZCTA5 92637","7,678,662","8,846","2.965","0.003","33.6082288","−117.7260987"
"ZCTA5 92646","20,850,754","711,094","8.051","0.275","33.6610291","−117.9679484"
"ZCTA5 92647","19,518,593","46,609","7.536","0.018","33.7232276","−118.0086922"
"ZCTA5 92648","20,808,777","6,275,485","8.034","2.423","33.6790445","−118.0130105"
"ZCTA5 92649","14,609,508","2,023,746","5.641","0.781","33.7202415","−118.0453833"
"ZCTA5 92651","57,122,661","7,243,869","22.055","2.797","33.5714801","−117.7728894"
"ZCTA5 92653","17,940,713","64,064","6.927","0.025","33.5940116","−117.7007341"
"ZCTA5 92655","2,337,583","0","0.903","0.000","33.7460289","−117.9876019"
"ZCTA5 92656","20,715,602","0","7.998","0.000","33.5752015","−117.7303522"
"ZCTA5 92657","21,494,836","1,549,909","8.299","0.598","33.5950576","−117.8291306"
"ZCTA5 92660","24,899,647","2,908,036","9.614","1.123","33.6346259","−117.8748825"
"ZCTA5 92661","1,679,631","3,132,323","0.649","1.209","33.6035935","−117.9126723"
"ZCTA5 92662","539,404","498,444","0.208","0.192","33.6050860","−117.8923185"
"ZCTA5 92663","8,523,400","3,485,536","3.291","1.346","33.6252036","−117.9287666"
"ZCTA5 92672","92,108,428","2,049,819","35.563","0.791","33.3729358","−117.5209627"
"ZCTA5 92673","26,689,348","27,169","10.305","0.010","33.4669078","−117.6140160"
"ZCTA5 92675","34,670,210","0","13.386","0.000","33.4997737","−117.6537035"
"ZCTA5 92676","179,868,465","1,885,725","69.448","0.728","33.7494876","−117.6163863"
"ZCTA5 92677","42,595,789","133,550","16.446","0.052","33.5286538","−117.7012525"
"ZCTA5 92678","98,797,386","13,484","38.146","0.005","33.6518163","−117.5071044"
"ZCTA5 92679","65,202,073","60,610","25.175","0.023","33.6494382","−117.5614050"
"ZCTA5 92683","25,178,176","0","9.721","0.000","33.7524276","−117.9938698"
"ZCTA5 92688","34,240,166","49,350","13.220","0.019","33.6187295","−117.6107995"
"ZCTA5 92691","22,732,647","110,252","8.777","0.043","33.6119451","−117.6658668"
"ZCTA5 92692","22,259,194","909,266","8.594","0.351","33.6121754","−117.6404517"
"ZCTA5 92694","104,000,772","0","40.155","0.000","33.5150098","−117.5806134"
"ZCTA5 92697","421,086","62,414","0.163","0.024","33.6497270","−117.8490847"
"ZCTA5 92701","8,351,657","0","3.225","0.000","33.7486219","−117.8587143"
