ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years
93280,7357,27356,26.9,3729,3628
93283,367,2416,15.2,86,281
93285,173,2465,7.0,113,60
93286,3467,10418,33.3,1972,1495
93287,21,119,17.6,6,15
93291,17992,61439,29.3,9682,8310
93292,12912,44759,28.8,6182,6730
93301,4356,13672,31.9,2364,1992
93304,14897,50158,29.7,7567,7330
93305,12173,36783,33.1,5931,6242
93306,22383,74769,29.9,10637,11746
93307,30300,89651,33.8,14736,15564
93308,13525,55150,24.5,7263,6262
93309,16431,62828,26.2,8220,8211
93311,14884,50535,29.5,6871,8013
93312,18330,59616,30.7,8842,9488
93313,18267,59924,30.5,7996,10271
93314,8928,34156,26.1,4808,4120
93401,4312,28773,15.0,1967,2345
93402,2773,15572,17.8,1502,1271
93405,1729,24991,6.9,892,837
93407,0,309,0.0,0,0
93408,1,11,9.1,1,0
93409,0,2591,0.0,0,0
93410,96,6523,1.5,36,60
93420,6840,32126,21.3,3970,2870
93422,6647,33781,19.7,3212,3435
93424,64,1174,5.5,31,33
93426,261,1566,16.7,132,129
93427,1275,5980,21.3,747,528
93428,828,6056,13.7,401,427
93429,0,64,0.0,0,0
93430,224,2941,7.6,32,192
93432,364,1434,25.4,199,165
93433,2744,12755,21.5,1219,1525
93434,2929,8272,35.4,1637,1292
93436,13957,55591,25.1,7040,6917
93437,1061,3681,28.8,596,465
93440,90,846,10.6,90,0
93441,147,1085,13.5,51,96
93442,1420,11399,12.5,732,688
93444,4623,22079,20.9,2073,2550
93445,1504,6912,21.8,619,885
93446,9962,45720,21.8,4870,5092
93449,952,8050,11.8,415,537
93450,269,830,32.4,162,107
93451,1086,4751,22.9,370,716
93452,89,307,29.0,24,65
93453,175,2096,8.3,102,73
93454,12092,41110,29.4,5421,6671
93455,10383,44186,23.5,4746,5637
93458,20127,59789,33.7,10246,9881
93460,1163,6280,18.5,661,502
93461,312,1369,22.8,162,150
93463,1310,8059,16.3,702,608
93465,2184,9829,22.2,1296,888
93501,1391,5404,25.7,706,685
93505,3467,14952,23.2,2003,1464
93510,1370,7397,18.5,753,617
93512,16,313,5.1,4,12
93513,299,1649,18.1,84,215
93514,2991,14692,20.4,1479,1512
93516,644,2583,24.9,283,361
93517,35,587,6.0,6,29
93518,102,894,11.4,57,45
93519,0,0,,0,0
93522,0,86,0.0,0,0
93523,1540,3867,39.8,555,985
93524,0,93,0.0,0,0
93526,215,855,25.1,84,131
93527,368,1734,21.2,205,163
93528,0,94,0.0,0,0
93529,17,302,5.6,0,17
93530,0,28,0.0,0,0
93531,43,425,10.1,0,43
93532,520,2768,18.8,194,326
93534,11883,42515,28.0,5449,6434
93535,24534,80905,30.3,11727,12807
93536,16992,72131,23.6,8448,8544
93541,298,817,36.5,102,196
93543,3559,12745,27.9,1876,1683
93544,178,1427,12.5,67,111
93545,391,1342,29.1,187,204
93546,1833,8689,21.1,733,1100
93549,0,254,0.0,0,0
93550,24358,81501,29.9,12173,12185
93551,13948,54478,25.6,6779,7169
93552,12668,43371,29.2,5470,7198
93553,96,1136,8.5,63,33
93554,0,65,0.0,0,0
93555,8700,33490,26.0,5110,3590
93558,0,17,0.0,0,0
93560,6279,21300,29.5,3042,3237
93561,7205,31060,23.2,3506,3699
93562,559,1867,29.9,192,367
93563,72,222,32.4,47,25
93581,0,3611,0.0,0,0
93591,2345,7340,31.9,1251,1094
93601,103,1206,8.5,66,37
93602,518,3038,17.1,264,254
93603,0,249,0.0,0,0
93604,49,366,13.4,27,22
93605,36,97,37.1,8,28
93606,406,1129,36.0,219,187
93608,289,1018,28.4,146,143
93609,1298,4889,26.5,479,819
93610,5470,23795,23.0,2489,2981
93611,12296,46620,26.4,6639,5657
93612,10081,37138,27.1,4493,5588
93614,2542,11760,21.6,1331,1211
93615,1932,5767,33.5,853,1079
93616,637,2163,29.4,256,381
93618,10842,32334,33.5,4789,6053
93619,15693,50848,30.9,7372,8321
93620,2189,9363,23.4,1378,811
93621,0,173,0.0,0,0
93622,3269,9419,34.7,1825,1444
93623,0,4,0.0,0,0
93624,249,892,27.9,121,128
93625,2501,8396,29.8,1281,1220
93626,651,2583,25.2,198,453
93627,110,196,56.1,110,0
93628,0,310,0.0,0,0
93630,6555,20272,32.3,3388,3167
93631,4209,16588,25.4,2195,2014
93633,0,26,0.0,0,0
93634,0,29,0.0,0,0
93635,16245,47683,34.1,8405,7840
93636,3435,13447,25.5,1457,1978
93637,12756,41324,30.9,6262,6494
93638,16330,51724,31.6,8064,8266
93640,5010,14162,35.4,2200,2810
93641,27,216,12.5,0,27
93643,422,3115,13.5,127,295
93644,1208,7169,16.9,702,506
93645,203,897,22.6,97,106
93646,3701,10157,36.4,1624,2077
93647,4003,11828,33.8,1895,2108
93648,4852,15370,31.6,2503,2349
93650,660,2844,23.2,321,339
93651,364,1580,23.0,146,218
93652,66,378,17.5,37,29
93653,254,1378,18.4,141,113
93654,8818,30476,28.9,4612,4206
93656,1624,6249,26.0,926,698
93657,10036,36053,27.8,5064,4972
93660,1444,3921,36.8,800,644
93662,7905,30191,26.2,3897,4008
93664,9,288,3.1,0,9
93665,40,386,10.4,40,0
93666,272,704,38.6,116,156
93667,328,1909,17.2,196,132
93668,271,1025,26.4,103,168
93669,54,324,16.7,33,21
93670,0,108,0.0,0,0
93673,74,378,19.6,36,38
93675,1587,4891,32.4,753,834
93701,2978,10602,28.1,1475,1503
93702,14483,45248,32.0,6919,7564
93703,9601,32603,29.4,4452,5149
93704,7670,29502,26.0,3985,3685
93705,11677,38777,30.1,5777,5900
93706,13081,41523,31.5,6100,6981
93710,6737,32730,20.6,3722,3015
93711,8590,39963,21.5,4244,4346
93720,10956,48597,22.5,5092,5864
93721,1068,8004,13.3,422,646
93722,24263,86387,28.1,11673,12590
93723,4094,13174,31.1,1910,2184
93725,8359,26568,31.5,3700,4659
93726,12099,44790,27.0,5449,6650
93727,25530,82176,31.1,12596,12934
93728,4444,17892,24.8,2168,2276
93730,3174,12461,25.5,1545,1629
93737,1923,6624,29.0,979,944
93740,22,1174,1.9,20,2
93741,2,77,2.6,0,2
93901,7467,29498,25.3,3515,3952
93905,21398,63121,33.9,9710,11688
93906,18816,66883,28.1,9070,9746
93907,6251,25124,24.9,3251,3000
93908,3412,12983,26.3,1838,1574
93920,409,1790,22.8,259,150
93921,259,2469,10.5,139,120
93923,2032,12630,16.1,1029,1003
93924,1140,6563,17.4,567,573
93925,467,1352,34.5,177,290
93926,2437,8941,27.3,1369,1068
93927,7254,19983,36.3,3908,3346
93928,28,1040,2.7,0,28
93930,5473,16807,32.6,2895,2578
93932,15,370,4.1,7,8
93933,6067,27197,22.3,2758,3309
93940,4598,31513,14.6,2357,2241
93943,0,12,0.0,0,0
93944,107,2605,4.1,0,107
93950,2585,15098,17.1,1565,1020
93953,482,3416,14.1,251,231
93954,189,501,37.7,110,79
93955,7241,32610,22.2,3332,3909
93960,6453,26037,24.8,2840,3613
93962,0,198,0.0,0,0
94002,6395,27893,22.9,2628,3767
94005,959,4756,20.2,497,462
94010,10367,43458,23.9,4488,5879
94014,6909,46331,14.9,3613,3296
94015,10292,65125,15.8,5535,4757
94018,589,3423,17.2,253,336
94019,2832,15275,18.5,1542,1290
94020,339,2030,16.7,188,151
94021,34,123,27.6,0,34
94022,4515,20052,22.5,2369,2146
94024,5901,24041,24.5,2649,3252
94025,9500,41017,23.2,4856,4644
94027,1419,7142,19.9,611,808
94028,1089,6888,15.8,605,484
94030,4319,22825,18.9,2056,2263
94037,154,2649,5.8,116,38
94038,776,3165,24.5,317,459
94040,7714,35667,21.6,3890,3824
94041,3258,15222,21.4,1513,1745
94043,6522,32670,20.0,3280,3242
94044,7338,38061,19.3,3646,3692
94060,145,1312,11.1,28,117
94061,8000,37539,21.3,3590,4410
94062,5722,26531,21.6,2777,2945
94063,7779,34807,22.3,4001,3778
94065,2697,11588,23.3,1456,1241
94066,8111,43369,18.7,3811,4300
94070,7328,31312,23.4,3531,3797
94074,48,151,31.8,0,48
94080,11389,66262,17.2,5477,5912
94085,3946,22996,17.2,1920,2026
94086,9214,49217,18.7,4560,4654
94087,14312,58913,24.3,6780,7532
94089,3322,23447,14.2,1502,1820
94102,3252,34077,9.5,1852,1400
94103,3031,32400,9.4,1061,1970
94104,52,557,9.3,29,23
94105,624,13722,4.5,166,458
94107,2854,30340,9.4,1654,1200
94108,1130,12070,9.4,554,576
94109,3574,56333,6.3,1764,1810
94110,10330,69679,14.8,4765,5565
94111,476,4468,10.7,139,337
94112,13781,80880,17.0,7190,6591
94114,3813,33858,11.3,1972,1841
94115,3558,33299,10.7,1515,2043
94116,7428,43903,16.9,3579,3849
94117,4162,39496,10.5,2168,1994
94118,5650,40108,14.1,2657,2993
94121,7048,43304,16.3,3669,3379
94122,8580,59453,14.4,4397,4183
94123,3251,24721,13.2,1707,1544
94124,8541,37347,22.9,3825,4716
94127,3704,21184,17.5,1827,1877
94128,0,0,,0,0
94129,1011,3952,25.6,430,581
94130,496,3136,15.8,134,362
94131,4678,28705,16.3,2380,2298
94132,3310,27641,12.0,1571,1739
94133,2667,25460,10.5,1212,1455
94134,6546,40738,16.1,3217,3329
94158,1855,10205,18.2,1127,728
94188,0,0,,0,0
94301,3314,17259,19.2,1732,1582
94303,11719,47989,24.4,5655,6064
94304,771,4489,17.2,456,315
94305,1117,17279,6.5,571,546
94306,6178,27785,22.2,3167,3011
94401,6636,35392,18.8,3115,3521
94402,5849,26150,22.4,3174,2675
94403,8526,43858,19.4,3912,4614
94404,7872,36397,21.6,3895,3977
94501,13453,63340,21.2,6505,6948
94502,3117,14225,21.9,1324,1793
94503,5524,21791,25.3,2833,2691
94505,3405,15445,22.0,1516,1889
94506,6616,26947,24.6,3475,3141
94507,3112,14503,21.5,1482,1630
94508,514,3406,15.1,230,284
94509,17605,70889,24.8,9697,7908
94510,5575,27223,20.5,2588,2987
94511,299,1993,15.0,124,175
94512,0,57,0.0,0,0
94513,17035,67580,25.2,8775,8260
94514,438,2023,21.7,148,290
94515,941,7024,13.4,419,522
94516,30,212,14.2,25,5
94517,2814,12349,22.8,1230,1584
94518,5712,28287,20.2,2795,2917
94519,4308,20162,21.4,2064,2244
94520,8224,36699,22.4,3993,4231
94521,7519,41092,18.3,3650,3869
94523,6870,34964,19.6,3132,3738
94525,498,3599,13.8,288,210
94526,8270,33396,24.8,3665,4605
94528,231,726,31.8,129,102
94530,4669,26483,17.6,2375,2294
94531,9739,44115,22.1,5062,4677
94533,19021,78129,24.3,9982,9039
94534,9441,41395,22.8,4465,4976
94535,1478,3873,38.2,688,790
94536,15836,71445,22.2,8044,7792
94538,13861,66215,20.9,7061,6800
94539,12828,53464,24.0,6387,6441
94541,14128,67401,21.0,6513,7615
94542,2550,16188,15.8,1134,1416
94544,16392,77712,21.1,7554,8838
94545,5773,33700,17.1,2470,3303
94546,9754,45761,21.3,4456,5298
94547,5152,26041,19.8,2595,2557
94548,238,598,39.8,136,102
94549,6808,28456,23.9,3440,3368
94550,10789,49463,21.8,5541,5248
94551,9346,40025,23.4,4870,4476
94552,3039,14948,20.3,1627,1412
94553,10043,49062,20.5,4537,5506
94555,10033,37671,26.6,5055,4978
94556,3516,15959,22.0,1686,1830
94558,12574,65084,19.3,6191,6383
94559,6332,28224,22.4,2924,3408
94560,9354,47470,19.7,4744,4610
94561,11230,44546,25.2,5246,5984
94562,0,0,,0,0
94563,4760,19416,24.5,2648,2112
94564,3340,18946,17.6,1659,1681
94565,23560,100826,23.4,10863,12697
94566,10362,45145,23.0,5206,5156
94567,201,719,28.0,142,59
94568,18519,71068,26.1,8920,9599
94569,0,251,0.0,0,0
94571,742,10514,7.1,367,375
94572,1927,9309,20.7,1106,821
94573,17,107,15.9,0,17
94574,1180,7827,15.1,558,622
94575,0,1048,0.0,0,0
94576,29,171,17.0,29,0
94577,8534,47937,17.8,3813,4721
94578,8513,42350,20.1,4763,3750
94579,3088,20272,15.2,1360,1728
94580,5395,29377,18.4,2814,2581
94582,13407,47338,28.3,7202,6205
94583,10185,39758,25.6,4482,5703
94585,7042,29401,24.0,2979,4063
94586,227,964,23.5,109,118
94587,12274,69502,17.7,5497,6777
94588,8388,35162,23.9,4221,4167
94589,6562,29959,21.9,3381,3181
94590,7220,37991,19.0,3666,3554
94591,11949,59026,20.2,5733,6216
94592,75,1020,7.4,31,44
94595,1849,17341,10.7,1036,813
94596,3772,23795,15.9,1937,1835
94597,3965,23654,16.8,1873,2092
94598,5048,26346,19.2,2317,2731
94599,181,3428,5.3,46,135
94601,11837,52102,22.7,5870,5967
94602,5620,31104,18.1,2585,3035
94603,9965,37042,26.9,4921,5044
94605,8747,44477,19.7,4348,4399
94606,6362,38459,16.5,3271,3091
94607,4085,27019,15.1,1721,2364
94608,4261,34083,12.5,1993,2268
94609,3691,25175,14.7,1982,1709
94610,5051,32404,15.6,2394,2657
94611,6934,39780,17.4,3550,3384
94612,1528,17742,8.6,910,618
94613,20,612,3.3,20,0
94618,3219,17285,18.6,1415,1804
94619,5986,27018,22.2,2916,3070
94621,9728,34911,27.9,4849,4879
94702,3434,17473,19.7,1847,1587
94703,2854,20404,14.0,1125,1729
94704,1166,25711,4.5,527,639
94705,2268,14508,15.6,1130,1138
94706,4991,20860,23.9,2433,2558
94707,2329,12596,18.5,1102,1227
94708,2044,11810,17.3,1119,925
94709,878,12200,7.2,358,520
94710,1273,8471,15.0,743,530
94720,253,5322,4.8,72,181
94801,8287,32759,25.3,4045,4242
94803,4757,27171,17.5,2394,2363
94804,10102,44387,22.8,4865,5237
94805,2738,14790,18.5,1236,1502
94806,14682,63730,23.0,6676,8006
94901,8336,40927,20.4,3919,4417
94903,5044,31582,16.0,2366,2678
94904,2725,13132,20.8,1361,1364
94920,2504,12906,19.4,1302,1202
94922,158,509,31.0,0,158
94923,129,1390,9.3,55,74
94924,101,1342,7.5,46,55
94925,2581,10155,25.4,1320,1261
94928,8906,46231,19.3,4743,4163
94929,104,442,23.5,68,36
94930,1584,8748,18.1,834,750
94931,1558,8945,17.4,829,729
94933,192,1284,15.0,147,45
94937,60,938,6.4,28,32
94938,34,428,7.9,21,13
94939,1479,7488,19.8,907,572
94940,41,260,15.8,10,31
94941,7637,32190,23.7,4041,3596
94945,3283,17309,19.0,1708,1575
94946,75,673,11.1,44,31
94947,4894,25183,19.4,2225,2669
94949,3736,18545,20.1,1619,2117
94950,0,23,0.0,0,0
94951,765,3574,21.4,383,382
94952,6815,33519,20.3,3339,3476
94954,7423,38201,19.4,3363,4060
94956,27,1189,2.3,20,7
94957,598,2081,28.7,259,339
94960,3896,16028,24.3,1737,2159
94963,93,462,20.1,26,67
94964,0,2054,0.0,0,0
94965,1547,12044,12.8,660,887
94970,7,400,1.8,7,0
94971,47,364,12.9,36,11
94972,70,153,45.8,0,70
94973,101,1438,7.0,34,67
95002,416,1920,21.7,142,274
95003,4407,24977,17.6,2236,2171
95004,589,3902,15.1,403,186
95005,1678,7552,22.2,904,774
95006,1141,8802,13.0,453,688
95007,42,359,11.7,22,20
95008,10718,48746,22.0,5266,5452
95010,1325,9243,14.3,495,830
95012,3921,10528,37.2,1914,2007
95013,0,53,0.0,0,0
95014,14762,61414,24.0,6902,7860
95017,201,907,22.2,101,100
95018,778,6055,12.8,388,390
95019,1843,5891,31.3,855,988
95020,18589,68365,27.2,8996,9593
95023,15165,57367,26.4,7496,7669
95030,2409,13373,18.0,1236,1173
95032,6759,27678,24.4,3145,3614
95033,1886,9853,19.1,987,899
95035,16409,79393,20.7,7409,9000
95037,13196,51867,25.4,7327,5869
95039,434,1427,30.4,155,279
95041,169,803,21.0,97,72
95043,147,669,22.0,84,63
95045,678,4063,16.7,224,454
95046,820,5801,14.1,451,369
95050,6855,39905,17.2,3016,3839
95051,11271,60499,18.6,5182,6089
95053,50,3317,1.5,30,20
95054,4856,24444,19.9,2499,2357
95060,6449,46527,13.9,2726,3723
95062,5568,36369,15.3,3144,2424
95064,343,9832,3.5,168,175
95065,1570,8125,19.3,902,668
95066,2590,15233,17.0,1122,1468
95070,6285,31688,19.8,2988,3297
95073,2462,11408,21.6,1090,1372
95075,115,566,20.3,81,34
95076,22182,83716,26.5,11198,10984
95110,4373,20314,21.5,2045,2328
95111,14902,59761,24.9,6979,7923
95112,8349,58775,14.2,4330,4019
95113,43,2161,2.0,43,0
95116,11719,50436,23.2,5203,6516
95117,6671,28663,23.3,3374,3297
95118,8002,32827,24.4,3948,4054
95119,2364,10461,22.6,1065,1299
95120,8766,38003,23.1,4337,4429
95121,6966,36657,19.0,2993,3973
95122,12664,52555,24.1,6518,6146
95123,15271,70952,21.5,7498,7773
95124,13157,51803,25.4,6496,6661
95125,11112,53333,20.8,5899,5213
95126,6346,36996,17.2,2989,3357
95127,13750,62269,22.1,6591,7159
95128,5961,33653,17.7,2676,3285
95129,8828,39797,22.2,4362,4466
95130,3282,13376,24.5,1707,1575
95131,6037,31335,19.3,2879,3158
95132,7111,40981,17.4,3301,3810
95133,5604,28749,19.5,2872,2732
95134,4384,30916,14.2,2421,1963
95135,4431,21402,20.7,1996,2435
95136,10186,47294,21.5,4913,5273
95138,4819,19420,24.8,2148,2671
95139,1989,7232,27.5,950,1039
95140,0,91,0.0,0,0
95148,9346,45688,20.5,4736,4610
95202,1447,6000,24.1,580,867
95203,4282,16237,26.4,2134,2148
95204,7005,30406,23.0,3444,3561
95205,12472,40128,31.1,6624,5848
95206,20409,68031,30.0,10501,9908
95207,13496,52877,25.5,7117,6379
95209,12433,46756,26.6,6164,6269
95210,12704,42654,29.8,6214,6490
95211,35,1676,2.1,20,15
95212,6669,27848,23.9,3388,3281
95215,6514,25647,25.4,3168,3346
95219,8124,30165,26.9,3810,4314
95220,2207,8244,26.8,1050,1157
95221,43,398,10.8,43,0
95222,928,5236,17.7,356,572
95223,222,2470,9.0,158,64
95224,76,311,24.4,37,39
95225,131,1019,12.9,90,41
95226,0,0,,0,0
95227,242,1180,20.5,80,162
95228,871,4648,18.7,445,426
95230,128,513,25.0,66,62
95231,840,4865,17.3,429,411
95232,0,202,0.0,0,0
95233,0,233,0.0,0,0
95236,1198,4518,26.5,658,540
95237,963,3992,24.1,362,601
95240,13417,50245,26.7,6151,7266
95242,6269,27433,22.9,2850,3419
95245,416,2813,14.8,126,290
95246,44,1548,2.8,44,0
95247,657,4022,16.3,268,389
95248,62,106,58.5,19,43
95249,913,4908,18.6,530,383
95251,0,521,0.0,0,0
95252,3001,14622,20.5,1557,1444
95253,229,504,45.4,111,118
95254,0,350,0.0,0,0
95255,321,1787,18.0,142,179
95257,0,398,0.0,0,0
95258,703,3885,18.1,452,251
95301,11626,41660,27.9,5071,6555
95303,177,891,19.9,85,92
95304,3362,15235,22.1,1657,1705
95305,0,158,0.0,0,0
95306,114,784,14.5,96,18
95307,13940,47978,29.1,6390,7550
95309,0,0,,0,0
95310,428,1849,23.1,246,182
95311,373,2182,17.1,119,254
95312,94,284,33.1,49,45
95313,126,860,14.7,70,56
95315,3913,13317,29.4,1688,2225
95316,1614,7154,22.6,1160,454
95317,319,948,33.6,174,145
95318,121,522,23.2,77,44
95319,265,1651,16.1,143,122
95320,3184,12385,25.7,1662,1522
95321,417,4068,10.3,243,174
95322,2496,9392,26.6,1019,1477
95323,388,1516,25.6,202,186
95324,2439,8763,27.8,896,1543
95325,0,44,0.0,0,0
95326,2668,10672,25.0,1311,1357
95327,1240,8788,14.1,676,564
95328,1405,3856,36.4,652,753
95329,331,2394,13.8,202,129
95330,8853,30051,29.5,4265,4588
95333,1096,3157,34.7,484,612
95334,5102,17302,29.5,2755,2347
95335,0,58,0.0,0,0
95336,11365,49145,23.1,5864,5501
95337,12260,44192,27.7,5227,7033
95338,2068,10102,20.5,1068,1000
95340,8606,36833,23.4,4393,4213
95341,12264,34541,35.5,6132,6132
95345,86,528,16.3,45,41
95346,180,1041,17.3,85,95
95348,9162,35853,25.6,4292,4870
95350,14150,55368,25.6,6984,7166
95351,14530,48134,30.2,7582,6948
95354,6677,25100,26.6,3253,3424
95355,14336,60338,23.8,6725,7611
95356,7940,33033,24.0,4298,3642
95357,4212,14403,29.2,1711,2501
95358,9795,31268,31.3,4314,5481
95360,3465,13781,25.1,2271,1194
95361,8779,35107,25.0,4172,4607
95363,8890,29784,29.8,4304,4586
95364,0,0,,0,0
95365,1144,3882,29.5,499,645
95366,4680,18500,25.3,1999,2681
95367,7525,25162,29.9,3624,3901
95368,3081,14849,20.7,1627,1454
95369,145,778,18.6,53,92
95370,5179,28548,18.1,2668,2511
95372,405,1639,24.7,178,227
95374,421,1581,26.6,220,201
95375,0,64,0.0,0,0
95376,14639,55038,26.6,6866,7773
95377,9314,35001,26.6,3985,5329
95379,799,3828,20.9,284,515
95380,12005,44204,27.2,6232,5773
95382,9660,38727,24.9,4440,5220
95383,461,3415,13.5,110,351
95385,137,531,25.8,59,78
95386,2864,10387,27.6,1258,1606
95387,483,1215,39.8,136,347
95388,4262,13518,31.5,1938,2324
95389,52,1963,2.6,52,0
95391,7362,23696,31.1,3540,3822
95401,7006,36905,19.0,3823,3183
95403,9968,44677,22.3,4761,5207
95404,7256,37437,19.4,3346,3910
95405,4297,23748,18.1,2030,2267
95407,10890,42138,25.8,5403,5487
95409,4192,26158,16.0,1720,2472
95410,34,797,4.3,34,0
95412,69,271,25.5,56,13
95415,413,1383,29.9,242,171
95417,82,211,38.9,82,0
95419,0,169,0.0,0,0
95420,100,351,28.5,99,1
95421,223,1679,13.3,128,95
95422,4438,16998,26.1,2235,2203
95423,507,3322,15.3,293,214
95425,2190,11331,19.3,1227,963
95426,211,1178,17.9,164,47
95427,55,589,9.3,32,23
95428,683,2775,24.6,281,402
95429,0,118,0.0,0,0
95430,0,0,,0,0
95431,4,76,5.3,2,2
95432,17,614,2.8,0,17
95435,144,347,41.5,0,144
95436,1275,6008,21.2,396,879
95437,2887,14865,19.4,1410,1477
95439,173,782,22.1,56,117
95441,243,1819,13.4,107,136
95442,237,2592,9.1,38,199
95443,113,190,59.5,36,77
95444,46,516,8.9,34,12
95445,339,2012,16.8,173,166
95446,368,4709,7.8,185,183
95448,2475,16745,14.8,1412,1063
95449,326,1785,18.3,155,171
95450,42,272,15.4,17,25
95451,2583,12957,19.9,1341,1242
95452,134,1240,10.8,84,50
95453,2186,11254,19.4,958,1228
95454,218,1714,12.7,85,133
95456,167,775,21.5,84,83
95457,615,3252,18.9,399,216
95458,520,3303,15.7,274,246
95459,188,853,22.0,62,126
95460,249,2349,10.6,98,151
95461,767,3909,19.6,390,377
95462,99,1091,9.1,65,34
95463,4,88,4.5,0,4
95464,594,2466,24.1,259,335
95465,173,1251,13.8,110,63
95466,115,880,13.1,10,105
95467,1357,5795,23.4,488,869
95468,362,1822,19.9,208,154
95469,223,1323,16.9,153,70
95470,1376,6068,22.7,586,790
95471,163,780,20.9,126,37
95472,4545,28443,16.0,2287,2258
95476,5861,36386,16.1,3068,2793
95480,3,6,50.0,2,1
95482,8413,34183,24.6,4458,3955
95485,476,2909,16.4,252,224
95486,0,27,0.0,0,0
95488,21,366,5.7,15,6
95490,2865,14360,20.0,1294,1571
95492,6477,28096,23.1,2909,3568
95493,0,144,0.0,0,0
95494,0,151,0.0,0,0
95497,72,1224,5.9,43,29
95501,4519,23706,19.1,1960,2559
95503,4418,24072,18.4,2166,2252
95511,0,102,0.0,0,0
95514,33,117,28.2,17,16
95519,4125,18781,22.0,1844,2281
95521,2924,21712,13.5,1743,1181
95524,335,1700,19.7,122,213
95525,148,1358,10.9,80,68
95526,133,638,20.8,94,39
95527,246,701,35.1,144,102
95528,323,1555,20.8,165,158
95531,5012,23029,21.8,2400,2612
95536,594,3258,18.2,245,349
95537,0,629,0.0,0,0
95538,119,1022,11.6,55,64
95540,3050,14415,21.2,1634,1416
95542,454,2862,15.9,205,249
95543,25,376,6.6,0,25
95545,54,492,11.0,12,42
95546,706,2666,26.5,378,328
95547,162,1121,14.5,86,76
95548,232,1034,22.4,98,134
95549,270,1140,23.7,156,114
95550,22,213,10.3,0,22
95551,255,1789,14.3,156,99
95552,8,423,1.9,8,0
95553,265,1037,25.6,142,123
95554,41,313,13.1,0,41
95555,60,370,16.2,31,29
95556,283,692,40.9,248,35
95558,27,246,11.0,17,10
95559,0,0,,0,0
95560,253,1337,18.9,206,47
95562,974,3396,28.7,306,668
95563,84,911,9.2,0,84
95564,96,564,17.0,52,44
95565,195,860,22.7,148,47
95567,410,2001,20.5,203,207
95568,19,224,8.5,15,4
95569,0,91,0.0,0,0
95570,478,2523,18.9,282,196
95571,0,30,0.0,0,0
95573,257,1417,18.1,72,185
95585,59,545,10.8,36,23
95587,0,0,,0,0
95589,210,1153,18.2,74,136
95595,24,143,16.8,7,17
95601,29,352,8.2,15,14
95602,2669,18610,14.3,1233,1436
95603,4935,28366,17.4,2637,2298
95604,0,34,0.0,0,0
95605,3461,14291,24.2,1694,1767
95606,10,185,5.4,3,7
95607,0,235,0.0,0,0
95608,12148,63715,19.1,6090,6058
95610,9428,46219,20.4,4805,4623
95612,306,1462,20.9,205,101
95613,0,0,,0,0
95614,857,4479,19.1,463,394
95615,214,1147,18.7,95,119
95616,5409,52090,10.4,2677,2732
95618,5101,26946,18.9,2559,2542
95619,1581,6414,24.6,665,916
95620,5713,22004,26.0,2694,3019
95621,8446,42089,20.1,4147,4299
95623,709,4488,15.8,241,468
95624,17597,67915,25.9,8238,9359
95625,0,88,0.0,0,0
95626,1117,5845,19.1,544,573
95627,1429,4137,34.5,697,732
95628,8601,44256,19.4,4239,4362
95629,61,747,8.2,28,33
95630,18900,76599,24.7,9751,9149
95631,1392,6244,22.3,490,902
95632,7230,31217,23.2,3399,3831
95633,791,3305,23.9,511,280
95634,509,3878,13.1,197,312
95635,71,948,7.5,37,34
95636,392,1374,28.5,179,213
95637,25,276,9.1,13,12
95638,325,2246,14.5,178,147
95639,46,314,14.6,26,20
95640,2058,12518,16.4,1163,895
95641,219,1517,14.4,96,123
95642,1062,7152,14.8,427,635
95645,283,1162,24.4,208,75
95646,85,249,34.1,29,56
95648,12647,55350,22.8,6137,6510
95650,2665,14098,18.9,903,1762
95651,166,738,22.5,121,45
95652,431,1193,36.1,194,237
95653,1,455,0.2,0,1
95655,1540,4954,31.1,904,636
95658,1070,5974,17.9,564,506
95659,201,790,25.4,138,63
95660,9888,35458,27.9,4491,5397
95661,6632,32827,20.2,3574,3058
95662,6883,32436,21.2,3376,3507
95663,430,2659,16.2,258,172
95664,166,1133,14.7,111,55
95665,828,4693,17.6,396,432
95666,686,5885,11.7,240,446
95667,6425,36084,17.8,3324,3101
95668,80,507,15.8,45,35
95669,367,2514,14.6,185,182
95670,14066,59449,23.7,7334,6732
95671,0,4478,0.0,0,0
95672,1034,5744,18.0,463,571
95673,3938,16665,23.6,2212,1726
95674,256,859,29.8,126,130
95675,108,487,22.2,28,80
95676,32,113,28.3,26,6
95677,6753,28591,23.6,3320,3433
95678,9489,45210,21.0,4626,4863
95679,27,131,20.6,0,27
95680,0,9,0.0,0,0
95681,452,1370,33.0,141,311
95682,5926,29750,19.9,2549,3377
95683,1191,6330,18.8,702,489
95684,190,2913,6.5,87,103
95685,764,4703,16.2,423,341
95686,319,1194,26.7,131,188
95687,14078,68996,20.4,6851,7227
95688,9919,40147,24.7,4739,5180
95689,272,1498,18.2,120,152
95690,407,1621,25.1,86,321
95691,10540,39961,26.4,4925,5615
95692,1282,4887,26.2,723,559
95693,1322,7624,17.3,513,809
95694,2193,9600,22.8,1149,1044
95695,9105,39892,22.8,4552,4553
95697,142,281,50.5,59,83
95698,29,196,14.8,14,15
95699,9,60,15.0,9,0
95701,74,1045,7.1,45,29
95703,109,1955,5.6,67,42
95709,1054,6103,17.3,612,442
