ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income,Primary Practice,Number of Pediatricians,Land Area sq meters,Water Area sq meters,Land Area sq miles,Water Area sq miles,Latitude,Longitude,Population,Population Density per sq mile
90029,45004.0,64635.0,50286.0,74300.0,65449.0,,35517.0,52291.0,Pediatrics,4.0,3564133.0,0.0,1.376,0.0,34.0898749,-118.2946307,36126.0,26254.36046511628
90031,51076.0,76666.0,51708.0,74981.0,58207.0,,35761.0,71797.0,Pediatrics,3.0,9064228.0,168754.0,3.5,0.065,34.0841971,-118.2085674,39497.0,11284.857142857143
90032,59723.0,79371.0,62972.0,84093.0,80218.0,,40180.0,56077.0,Pediatrics,0.0,12470642.0,47432.0,4.815,0.018,34.0782936,-118.1857852,47857.0,9939.14849428868
90033,43646.0,57992.0,46566.0,58546.0,60522.0,,22083.0,43762.0,Pediatrics,37.0,8487878.0,92117.0,3.277,0.036,34.0503802,-118.2119912,49695.0,15164.784864205065
90034,80773.0,104934.0,95522.0,128860.0,113701.0,,70952.0,86860.0,Pediatrics,19.0,8031974.0,23525.0,3.101,0.009,34.0305777,-118.3996127,56416.0,18192.84101902612
90035,99367.0,143414.0,127209.0,193297.0,147600.0,,78088.0,97930.0,Pediatrics,10.0,5894449.0,0.0,2.276,0.0,34.0514263,-118.3857654,27725.0,12181.45869947276
90036,84315.0,126358.0,114782.0,166919.0,129181.0,,68849.0,99007.0,Pediatrics,9.0,6360336.0,3300.0,2.456,0.001,34.0702908,-118.349191,38111.0,15517.508143322477
90037,37945.0,55177.0,43544.0,58040.0,51063.0,67492.0,18673.0,33302.0,Pediatrics,3.0,7478860.0,0.0,2.888,0.0,34.0026603,-118.2875072,67377.0,23329.98614958449
90038,48786.0,66663.0,50804.0,74151.0,53467.0,,44496.0,59577.0,Pediatrics,1.0,4009023.0,3325.0,1.548,0.001,34.0880175,-118.3271685,28592.0,18470.284237726097
90039,88104.0,134981.0,112331.0,163790.0,128309.0,,70271.0,98532.0,Pediatrics,4.0,9426953.0,476421.0,3.64,0.184,34.1118846,-118.2610325,29966.0,8232.417582417582
90040,54567.0,69829.0,62586.0,75038.0,65368.0,,22548.0,40097.0,Pediatrics,4.0,14421599.0,3306.0,5.568,0.001,33.9945234,-118.1499518,12363.0,2220.366379310345
90041,90461.0,121689.0,106114.0,142076.0,125670.0,,60465.0,79625.0,Pediatrics,3.0,9308255.0,30513.0,3.594,0.012,34.1374122,-118.2076072,29888.0,8316.082359488037
90042,73152.0,97223.0,74856.0,102763.0,98497.0,,63623.0,82021.0,Pediatrics,2.0,11704859.0,84279.0,4.519,0.033,34.1147083,-118.1920977,60509.0,13389.909271962822
90043,56285.0,77808.0,71942.0,96532.0,104956.0,,28104.0,48352.0,Pediatrics,3.0,10624108.0,2585.0,4.102,0.001,33.9885046,-118.3363581,46358.0,11301.316431009263
90044,39434.0,56281.0,46764.0,62878.0,64246.0,83517.0,16931.0,28625.0,Pediatrics,0.0,13214543.0,0.0,5.102,0.0,33.9526526,-118.2920125,99980.0,19596.236769894156
90045,110535.0,143151.0,147039.0,178715.0,171250.0,,80112.0,93410.0,Pediatrics,7.0,27865944.0,779.0,10.759,0.0,33.9423871,-118.4160617,39795.0,3698.763825634353
90046,72457.0,116558.0,114390.0,163293.0,122951.0,,61469.0,94609.0,Pediatrics,5.0,14674077.0,3009.0,5.666,0.001,34.1078099,-118.3622474,49828.0,8794.2110836569
90047,58830.0,73485.0,70734.0,87624.0,86830.0,107159.0,20700.0,38410.0,Pediatrics,1.0,12190303.0,472.0,4.707,0.0,33.9554301,-118.3095685,51057.0,10847.036328871893
90048,93583.0,151911.0,140821.0,225294.0,155363.0,,74871.0,105074.0,Pediatrics,29.0,4903991.0,0.0,1.893,0.0,34.0728769,-118.3726545,21766.0,11498.151082937136
90049,133032.0,227182.0,191930.0,323905.0,233266.0,,94981.0,133305.0,Pediatrics,13.0,38778176.0,1359.0,14.972,0.001,34.0925404,-118.4910639,36610.0,2445.2310980496927
90050,,,,,,,,,Pediatrics,0.0,,,,,,,,
90054,,,,,,,,,Pediatrics,0.0,,,,,,,,
90056,84387.0,120594.0,117852.0,155278.0,139375.0,,60486.0,65515.0,Pediatrics,4.0,5847234.0,0.0,2.258,0.0,33.9935808,-118.3688386,8058.0,3568.6448184233836
90057,41748.0,51386.0,41133.0,52938.0,49787.0,,34328.0,43898.0,Pediatrics,4.0,2279154.0,34211.0,0.88,0.013,34.0617348,-118.2767572,49771.0,56557.954545454544
90058,27708.0,42192.0,30074.0,35888.0,41000.0,,,50903.0,Pediatrics,0.0,14986630.0,442625.0,5.786,0.171,34.0028436,-118.2163997,3003.0,519.0114068441065
90059,44839.0,59815.0,49418.0,65436.0,69563.0,,15654.0,27912.0,Pediatrics,2.0,8188713.0,42487.0,3.162,0.016,33.9274687,-118.2487959,42311.0,13381.087919038584
90061,47468.0,64948.0,51887.0,68608.0,65590.0,,19435.0,46334.0,Pediatrics,0.0,7027840.0,1362.0,2.713,0.001,33.9212798,-118.2741865,28755.0,10598.9679321784
90062,52661.0,71338.0,58143.0,75322.0,71672.0,,22513.0,46100.0,Pediatrics,2.0,4942347.0,0.0,1.908,0.0,34.0034933,-118.3090927,35908.0,18819.706498951786
90063,50913.0,67776.0,57427.0,69296.0,64553.0,76890.0,30101.0,47684.0,Pediatrics,0.0,8507622.0,0.0,3.285,0.0,34.0452484,-118.1857803,53846.0,16391.476407914764
90064,103045.0,161321.0,166926.0,227058.0,185833.0,,69606.0,90052.0,Pediatrics,14.0,9646305.0,3034.0,3.724,0.001,34.0353095,-118.4264862,25988.0,6978.517722878625
90065,76080.0,112869.0,81386.0,120583.0,103000.0,,62435.0,90743.0,Pediatrics,4.0,14219322.0,183706.0,5.49,0.071,34.1095946,-118.2286887,47389.0,8631.876138433516
90066,87589.0,124575.0,108728.0,152890.0,136336.0,,66888.0,93898.0,Pediatrics,10.0,12453732.0,143549.0,4.808,0.055,34.0020279,-118.4306565,58851.0,12240.22462562396
